category,pct_mcp_only,pct_aei_api,pct_conv_baseline,delta_mcp_vs_aei,delta_mcp_vs_conv
"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services",28.97,6.38,25.44,22.59,3.53
"Captains, Mates, and Pilots of Water Vessels",22.53,0.00,20.14,22.53,2.39
Computer Numerically Controlled Tool Operators,35.75,13.38,33.16,22.37,2.59
Industrial Engineering Technologists and Technicians,25.35,3.12,30.38,22.24,-5.03
Bakers,22.22,0.00,25.05,22.22,-2.83
Lodging Managers,44.13,22.19,56.23,21.94,-12.10
Brownfield Redevelopment Specialists and Site Managers,21.90,0.00,15.93,21.90,5.97
Telemarketers,90.13,68.29,83.26,21.84,6.87
Geographic Information Systems Technologists and Technicians,69.13,47.33,47.21,21.80,21.93
Brokerage Clerks,57.14,35.42,71.34,21.72,-14.21
"Compensation, Benefits, and Job Analysis Specialists",33.34,11.65,33.65,21.69,-0.31
Stationary Engineers and Boiler Operators,21.66,0.00,20.10,21.66,1.56
Freight Forwarders,48.29,26.68,51.92,21.61,-3.63
"Paper Goods Machine Setters, Operators, and Tenders",21.61,0.00,15.45,21.61,6.16
"Dispatchers, Except Police, Fire, and Ambulance",59.45,37.86,71.51,21.59,-12.05
Avionics Technicians,21.48,0.00,29.42,21.48,-7.94
Farm Labor Contractors,21.42,0.00,19.80,21.42,1.61
Biofuels Processing Technicians,28.54,7.13,13.88,21.40,14.66
Health Information Technologists and Medical Registrars,51.21,30.02,38.11,21.19,13.09
Food Cooking Machine Operators and Tenders,21.10,0.00,18.90,21.10,2.20
Photonics Technicians,20.97,0.00,33.69,20.97,-12.72
Customs Brokers,42.34,21.48,43.21,20.86,-0.87
File Clerks,53.04,32.24,56.14,20.80,-3.10
Semiconductor Processing Technicians,20.78,0.00,20.76,20.78,0.01
Loss Prevention Managers,24.89,4.15,16.16,20.74,8.72
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",29.41,8.70,18.89,20.71,10.53
Power Distributors and Dispatchers,27.73,7.04,36.17,20.68,-8.45
"Mail Clerks and Mail Machine Operators, Except Postal Service",29.35,8.68,22.21,20.66,7.13
Aerospace Engineers,23.15,2.54,27.46,20.61,-4.30
Packaging and Filling Machine Operators and Tenders,20.51,0.00,5.10,20.51,15.41
Light Truck Drivers,20.51,0.00,15.34,20.51,5.17
Automotive Engineers,32.03,11.56,49.06,20.47,-17.03
"Model Makers, Metal and Plastic",20.32,0.00,16.98,20.32,3.33
Financial and Investment Analysts,55.12,34.81,50.47,20.31,4.66
Desktop Publishers,66.96,46.72,69.89,20.23,-2.94
Compliance Officers,38.00,17.80,31.35,20.19,6.65
Transportation Engineers,30.31,10.23,57.51,20.08,-27.20
Natural Sciences Managers,35.92,16.14,41.41,19.78,-5.49
Librarians and Media Collections Specialists,42.35,22.66,40.40,19.69,1.95
Mechanical Engineering Technologists and Technicians,36.87,17.18,33.51,19.69,3.36
Adhesive Bonding Machine Operators and Tenders,19.56,0.00,21.57,19.56,-2.02
Receptionists and Information Clerks,69.52,50.12,73.83,19.40,-4.31
Social and Human Service Assistants,19.20,0.00,38.53,19.20,-19.34
"Patternmakers, Metal and Plastic",29.69,10.56,34.89,19.13,-5.20
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",19.13,0.00,10.59,19.13,8.54
Funeral Home Managers,28.65,9.55,19.66,19.10,9.00
Financial Examiners,21.36,2.30,19.16,19.06,2.20
Online Merchants,87.39,68.38,84.04,19.01,3.35
Computer Network Support Specialists,80.99,62.03,81.36,18.96,-0.37
