title_current,major,job_zone,outlook,emp,wage,pct,tier
"Plumbers, Pipefitters, and Steamfitters",Construction and Extraction Occupations,3.00,4.00,238034.00,62970.00,19.99,Low (<20%)
Podiatrists,Healthcare Practitioners and Technical Occupations,5.00,4.00,9520.00,152800.00,23.08,Restructuring (20–39%)
"Poets, Lyricists and Creative Writers","Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,45017.00,72270.00,87.44,High (≥60%)
Police Identification and Records Officers,Protective Service Occupations,3.00,4.00,17928.00,93580.00,22.07,Restructuring (20–39%)
Police and Sheriff's Patrol Officers,Protective Service Occupations,3.00,5.00,138105.00,76290.00,26.44,Restructuring (20–39%)
"Political Science Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,3.00,17170.00,94680.00,79.99,High (≥60%)
Political Scientists,"Life, Physical, and Social Science Occupations",5.00,2.00,5950.00,139380.00,72.79,High (≥60%)
Postal Service Clerks,Office and Administrative Support Occupations,2.00,3.00,78060.00,61630.00,28.78,Restructuring (20–39%)
Postal Service Mail Carriers,Office and Administrative Support Occupations,2.00,4.00,336040.00,57490.00,21.06,Restructuring (20–39%)
"Postal Service Mail Sorters, Processors, and Processing Machine Operators",Office and Administrative Support Occupations,2.00,3.00,111930.00,56530.00,18.89,Low (<20%)
Postmasters and Mail Superintendents,Management Occupations,2.00,3.00,13810.00,92730.00,17.28,Low (<20%)
"Potters, Manufacturing",Production Occupations,3.00,2.00,11662.00,45690.00,17.30,Low (<20%)
"Pourers and Casters, Metal",Production Occupations,2.00,0.00,5830.00,48940.00,17.06,Low (<20%)
Power Distributors and Dispatchers,Production Occupations,3.00,4.00,9180.00,107240.00,36.17,Restructuring (20–39%)
Power Plant Operators,Production Occupations,2.00,4.00,21510.00,99670.00,15.78,Low (<20%)
Precision Agriculture Technicians,"Life, Physical, and Social Science Occupations",3.00,2.00,7170.00,46790.00,37.75,Restructuring (20–39%)
Prepress Technicians and Workers,Production Occupations,3.00,1.00,23070.00,47300.00,36.67,Restructuring (20–39%)
"Preschool Teachers, Except Special Education",Educational Instruction and Library Occupations,3.00,2.00,445080.00,37120.00,46.74,Moderate (40–59%)
"Pressers, Textile, Garment, and Related Materials",Production Occupations,1.00,1.00,26830.00,33880.00,10.75,Low (<20%)
Preventive Medicine Physicians,Healthcare Practitioners and Technical Occupations,5.00,2.00,47978.00,249103.60,19.43,Low (<20%)
Print Binding and Finishing Workers,Production Occupations,2.00,2.00,36470.00,39820.00,8.02,Low (<20%)
Printing Press Operators,Production Occupations,2.00,2.00,145110.00,45160.00,22.24,Restructuring (20–39%)
Private Detectives and Investigators,Protective Service Occupations,3.00,2.00,38700.00,52370.00,60.57,High (≥60%)
Probation Officers and Correctional Treatment Specialists,Community and Social Service Occupations,4.00,4.00,86820.00,64520.00,36.82,Restructuring (20–39%)
Procurement Clerks,Office and Administrative Support Occupations,2.00,3.00,59900.00,48510.00,69.39,High (≥60%)
Producers and Directors,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,24762.00,83480.00,28.12,Restructuring (20–39%)
"Production, Planning, and Expediting Clerks",Office and Administrative Support Occupations,2.00,3.00,385000.00,57770.00,46.06,Moderate (40–59%)
Project Management Specialists,Business and Financial Operations Occupations,4.00,5.00,560732.43,89920.54,24.05,Restructuring (20–39%)
Proofreaders and Copy Markers,Office and Administrative Support Occupations,4.00,2.00,5160.00,49210.00,54.18,Moderate (40–59%)
"Property, Real Estate, and Community Association Managers",Management Occupations,4.00,5.00,296640.00,66700.00,61.50,High (≥60%)
Prosthodontists,Healthcare Practitioners and Technical Occupations,5.00,5.00,760.00,179210.00,18.35,Low (<20%)
Psychiatric Aides,Healthcare Support Occupations,2.00,2.00,34900.00,41590.00,22.92,Restructuring (20–39%)
Psychiatric Technicians,Healthcare Practitioners and Technical Occupations,3.00,2.00,136300.00,42590.00,15.72,Low (<20%)
Psychiatrists,Healthcare Practitioners and Technical Occupations,5.00,0.00,24800.00,257920.00,44.56,Moderate (40–59%)
"Psychology Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,41610.00,80330.00,75.88,High (≥60%)
Public Relations Managers,Management Occupations,4.00,5.00,58664.44,131835.56,26.43,Restructuring (20–39%)
Public Relations Specialists,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,280590.00,69780.00,83.21,High (≥60%)
Public Safety Telecommunicators,Office and Administrative Support Occupations,2.00,3.00,101140.00,50730.00,34.51,Restructuring (20–39%)
"Pump Operators, Except Wellhead Pumpers",Transportation and Material Moving Occupations,2.00,3.00,12600.00,60020.00,20.64,Restructuring (20–39%)
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",Business and Financial Operations Occupations,4.00,4.00,162300.00,75650.00,71.60,High (≥60%)
Purchasing Managers,Management Occupations,4.00,4.00,81240.00,139510.00,46.97,Moderate (40–59%)
Quality Control Analysts,"Life, Physical, and Social Science Occupations",3.00,2.00,20858.00,60130.00,25.72,Restructuring (20–39%)
Quality Control Systems Managers,Management Occupations,4.00,5.00,44992.00,121440.00,17.89,Low (<20%)
Radiation Therapists,Healthcare Practitioners and Technical Occupations,3.00,4.00,18700.00,101990.00,19.52,Low (<20%)
Radio Frequency Identification Device Specialists,Architecture and Engineering Occupations,4.00,5.00,27927.00,127590.00,50.09,Moderate (40–59%)
"Radio, Cellular, and Tower Equipment Installers and Repairers","Installation, Maintenance, and Repair Occupations",3.00,2.00,11400.00,64190.00,36.76,Restructuring (20–39%)
Radiologic Technologists and Technicians,Healthcare Practitioners and Technical Occupations,3.00,5.00,223460.00,77660.00,20.21,Restructuring (20–39%)
Radiologists,Healthcare Practitioners and Technical Occupations,5.00,2.00,26290.00,249103.60,46.77,Moderate (40–59%)
Rail Car Repairers,"Installation, Maintenance, and Repair Occupations",2.00,3.00,18300.00,65680.00,7.40,Low (<20%)
"Rail Yard Engineers, Dinkey Operators, and Hostlers",Transportation and Material Moving Occupations,2.00,2.00,3300.00,58030.00,18.05,Low (<20%)
Rail-Track Laying and Maintenance Equipment Operators,Construction and Extraction Occupations,2.00,3.00,16480.00,67370.00,0.00,Low (<20%)
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",Transportation and Material Moving Occupations,2.00,2.00,12460.00,65480.00,5.52,Low (<20%)
Railroad Conductors and Yardmasters,Transportation and Material Moving Occupations,2.00,2.00,42710.00,74080.00,18.88,Low (<20%)
Range Managers,"Life, Physical, and Social Science Occupations",4.00,3.00,2547.00,67950.00,13.80,Low (<20%)
Real Estate Brokers,Sales and Related Occupations,4.00,4.00,49590.00,72280.00,90.16,High (≥60%)
Real Estate Sales Agents,Sales and Related Occupations,3.00,4.00,190600.00,56320.00,78.11,High (≥60%)
Receptionists and Information Clerks,Office and Administrative Support Occupations,2.00,2.00,964530.00,37230.00,73.83,High (≥60%)
Recreation Workers,Personal Care and Service Occupations,4.00,2.00,309640.00,35380.00,31.95,Restructuring (20–39%)
"Recreation and Fitness Studies Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,12680.00,75890.00,69.59,High (≥60%)
Recreational Therapists,Healthcare Practitioners and Technical Occupations,4.00,3.00,15060.00,60280.00,44.55,Moderate (40–59%)
Recreational Vehicle Service Technicians,"Installation, Maintenance, and Repair Occupations",2.00,2.00,18710.00,50540.00,29.04,Restructuring (20–39%)
Recycling Coordinators,Transportation and Material Moving Occupations,2.00,2.00,61568.00,61900.00,19.89,Low (<20%)
Recycling and Reclamation Workers,Transportation and Material Moving Occupations,2.00,2.00,2982530.00,38940.00,0.00,Low (<20%)
"Refractory Materials Repairers, Except Brickmasons","Installation, Maintenance, and Repair Occupations",2.00,4.00,1100.00,58540.00,12.88,Low (<20%)
Refuse and Recyclable Material Collectors,Transportation and Material Moving Occupations,2.00,3.00,139180.00,48350.00,8.35,Low (<20%)
Registered Nurses,Healthcare Practitioners and Technical Occupations,4.00,5.00,304558.00,93600.00,33.36,Restructuring (20–39%)
Regulatory Affairs Managers,Management Occupations,4.00,4.00,194569.00,136550.00,46.00,Moderate (40–59%)
Regulatory Affairs Specialists,Business and Financial Operations Occupations,4.00,4.00,101060.00,78420.00,40.69,Moderate (40–59%)
Rehabilitation Counselors,Community and Social Service Occupations,4.00,3.00,88930.00,46110.00,38.06,Restructuring (20–39%)
Reinforcing Iron and Rebar Workers,Construction and Extraction Occupations,2.00,3.00,14140.00,59280.00,11.47,Low (<20%)
Remote Sensing Scientists and Technologists,"Life, Physical, and Social Science Occupations",4.00,4.00,22580.00,117960.00,39.16,Restructuring (20–39%)
Remote Sensing Technicians,"Life, Physical, and Social Science Occupations",4.00,2.00,50542.00,60130.00,29.17,Restructuring (20–39%)
Reservation and Transportation Ticket Agents and Travel Clerks,Office and Administrative Support Occupations,2.00,2.00,127440.00,41460.00,50.48,Moderate (40–59%)
Residential Advisors,Personal Care and Service Occupations,3.00,2.00,82810.00,39180.00,42.88,Moderate (40–59%)
Respiratory Therapists,Healthcare Practitioners and Technical Occupations,3.00,5.00,136420.00,80450.00,15.65,Low (<20%)
Retail Loss Prevention Specialists,Protective Service Occupations,2.00,2.00,83110.00,41600.00,43.59,Moderate (40–59%)
Retail Salespersons,Sales and Related Occupations,2.00,2.00,3800250.00,34580.00,57.36,Moderate (40–59%)
Riggers,"Installation, Maintenance, and Repair Occupations",2.00,2.00,24190.00,62060.00,29.83,Restructuring (20–39%)
Robotics Engineers,Architecture and Engineering Occupations,4.00,5.00,24369.00,117750.00,57.70,Moderate (40–59%)
Robotics Technicians,Architecture and Engineering Occupations,3.00,3.00,7340.00,70760.00,40.31,Moderate (40–59%)
"Rock Splitters, Quarry",Construction and Extraction Occupations,1.00,3.00,3080.00,47460.00,6.41,Low (<20%)
"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Production Occupations,2.00,1.00,22350.00,48630.00,20.34,Restructuring (20–39%)
"Roof Bolters, Mining",Construction and Extraction Occupations,2.00,4.00,2230.00,76640.00,10.08,Low (<20%)
Roofers,Construction and Extraction Occupations,2.00,4.00,136740.00,50970.00,5.61,Low (<20%)
"Rotary Drill Operators, Oil and Gas",Construction and Extraction Occupations,2.00,3.00,13090.00,65010.00,9.33,Low (<20%)
"Roustabouts, Oil and Gas",Construction and Extraction Occupations,1.00,2.00,45330.00,47510.00,2.46,Low (<20%)
Sailors and Marine Oilers,Transportation and Material Moving Occupations,2.00,2.00,31360.00,49610.00,8.72,Low (<20%)
Sales Engineers,Sales and Related Occupations,4.00,4.00,56690.00,121520.00,72.01,High (≥60%)
Sales Managers,Management Occupations,4.00,5.00,603710.00,138060.00,53.40,Moderate (40–59%)
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sales and Related Occupations,2.00,4.00,1189330.00,66260.00,38.31,Restructuring (20–39%)
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales and Related Occupations,4.00,4.00,1266860.00,66780.00,81.81,High (≥60%)
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Sales and Related Occupations,4.00,5.00,236233.00,100070.00,76.76,High (≥60%)
"Sawing Machine Setters, Operators, and Tenders, Wood",Production Occupations,2.00,1.00,43140.00,39950.00,27.59,Restructuring (20–39%)
School Bus Monitors,Protective Service Occupations,2.00,1.00,72140.00,34980.00,36.95,Restructuring (20–39%)
School Psychologists,"Life, Physical, and Social Science Occupations",5.00,4.00,63830.00,86930.00,34.71,Restructuring (20–39%)
Search Marketing Strategists,Business and Financial Operations Occupations,4.00,4.00,430570.00,76950.00,89.65,High (≥60%)
"Secondary School Teachers, Except Special and Career/Technical Education",Educational Instruction and Library Occupations,4.00,5.00,1072540.00,64580.00,59.76,Moderate (40–59%)
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Office and Administrative Support Occupations,2.00,3.00,1737820.00,46290.00,75.10,High (≥60%)
"Securities, Commodities, and Financial Services Sales Agents",Sales and Related Occupations,4.00,5.00,472300.00,78140.00,29.00,Restructuring (20–39%)
Security Guards,Protective Service Occupations,2.00,2.00,1241770.00,38370.00,54.66,Moderate (40–59%)
Security Management Specialists,Business and Financial Operations Occupations,4.00,4.00,483001.00,81270.00,49.70,Moderate (40–59%)
Security Managers,Management Occupations,4.00,5.00,70545.00,104690.00,38.31,Restructuring (20–39%)
Security and Fire Alarm Systems Installers,"Installation, Maintenance, and Repair Occupations",3.00,3.00,81510.00,59300.00,37.72,Restructuring (20–39%)
Segmental Pavers,Construction and Extraction Occupations,2.00,3.00,16765.00,48120.00,5.39,Low (<20%)
Self-Enrichment Teachers,Educational Instruction and Library Occupations,3.00,2.00,308520.00,45590.00,27.88,Restructuring (20–39%)
Semiconductor Processing Technicians,Production Occupations,2.00,0.00,32150.00,51180.00,20.76,Restructuring (20–39%)
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Production Occupations,2.00,2.00,54200.00,49500.00,31.93,Restructuring (20–39%)
Septic Tank Servicers and Sewer Pipe Cleaners,Construction and Extraction Occupations,1.00,3.00,29050.00,49140.00,21.23,Restructuring (20–39%)
"Service Unit Operators, Oil and Gas",Construction and Extraction Occupations,2.00,3.00,44120.00,57980.00,6.07,Low (<20%)
Set and Exhibit Designers,"Arts, Design, Entertainment, Sports, and Media Occupations",5.00,2.00,10850.00,66280.00,44.77,Moderate (40–59%)
"Sewers, Hand",Production Occupations,1.00,1.00,2240.00,33760.00,17.94,Low (<20%)
Sewing Machine Operators,Production Occupations,1.00,2.00,109590.00,36000.00,11.19,Low (<20%)
Shampooers,Personal Care and Service Occupations,2.00,2.00,8890.00,31470.00,14.82,Low (<20%)
Sheet Metal Workers,Construction and Extraction Occupations,2.00,3.00,117470.00,60850.00,31.58,Restructuring (20–39%)
Ship Engineers,Transportation and Material Moving Occupations,3.00,2.00,8580.00,101320.00,7.43,Low (<20%)
"Shipping, Receiving, and Inventory Clerks",Office and Administrative Support Occupations,2.00,2.00,857630.00,43190.00,25.81,Restructuring (20–39%)
Shoe Machine Operators and Tenders,Production Occupations,2.00,1.00,3270.00,38160.00,8.17,Low (<20%)
Shoe and Leather Workers and Repairers,Production Occupations,2.00,1.00,7640.00,35950.00,10.77,Low (<20%)
Shuttle Drivers and Chauffeurs,Transportation and Material Moving Occupations,2.00,2.00,292209.77,40769.77,16.14,Low (<20%)
Signal and Track Switch Repairers,"Installation, Maintenance, and Repair Occupations",3.00,2.00,8210.00,83600.00,13.79,Low (<20%)
Skincare Specialists,Personal Care and Service Occupations,3.00,2.00,70240.00,41560.00,52.96,Moderate (40–59%)
Slaughterers and Meat Packers,Production Occupations,2.00,1.00,67500.00,39790.00,32.66,Restructuring (20–39%)
Social Science Research Assistants,"Life, Physical, and Social Science Occupations",4.00,2.00,32940.00,58040.00,53.47,Moderate (40–59%)
"Social Work Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,4.00,13350.00,76210.00,75.98,High (≥60%)
Social and Community Service Managers,Management Occupations,4.00,4.00,195490.00,78240.00,37.07,Restructuring (20–39%)
Social and Human Service Assistants,Community and Social Service Occupations,4.00,2.00,424220.00,45120.00,38.53,Restructuring (20–39%)
Sociologists,"Life, Physical, and Social Science Occupations",5.00,3.00,2950.00,101690.00,70.51,High (≥60%)
"Sociology Teachers, Postsecondary",Educational Instruction and Library Occupations,5.00,3.00,12380.00,82540.00,72.41,High (≥60%)
Software Developers,Computer and Mathematical Occupations,4.00,5.00,725946.38,113631.06,45.16,Moderate (40–59%)
Software Quality Assurance Analysts and Testers,Computer and Mathematical Occupations,4.00,5.00,725946.38,113631.06,49.63,Moderate (40–59%)
Soil and Plant Scientists,"Life, Physical, and Social Science Occupations",5.00,3.00,16600.00,71410.00,41.05,Moderate (40–59%)
Solar Energy Installation Managers,Construction and Extraction Occupations,3.00,4.00,322868.00,78690.00,37.36,Restructuring (20–39%)
Solar Energy Systems Engineers,Architecture and Engineering Occupations,4.00,5.00,1591.00,117750.00,42.06,Moderate (40–59%)
Solar Photovoltaic Installers,Construction and Extraction Occupations,2.00,2.00,28280.00,51860.00,37.91,Restructuring (20–39%)
Solar Sales Representatives and Assessors,Sales and Related Occupations,3.00,4.00,57697.00,100070.00,74.57,High (≥60%)
Solar Thermal Installers and Technicians,Construction and Extraction Occupations,3.00,4.00,217906.00,62970.00,8.43,Low (<20%)
Sound Engineering Technicians,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,13050.00,66430.00,28.35,Restructuring (20–39%)
Spa Managers,Management Occupations,3.00,4.00,4869.00,61340.00,46.13,Moderate (40–59%)
"Special Education Teachers, Elementary School",Educational Instruction and Library Occupations,4.00,4.00,92873.33,64270.00,19.90,Low (<20%)
"Special Education Teachers, Kindergarten",Educational Instruction and Library Occupations,4.00,4.00,92873.33,64270.00,20.58,Restructuring (20–39%)
"Special Education Teachers, Middle School",Educational Instruction and Library Occupations,4.00,4.00,95330.00,64880.00,44.16,Moderate (40–59%)
"Special Education Teachers, Preschool",Educational Instruction and Library Occupations,5.00,3.00,28200.00,62190.00,32.51,Restructuring (20–39%)
"Special Education Teachers, Secondary School",Educational Instruction and Library Occupations,4.00,4.00,162780.00,69590.00,48.57,Moderate (40–59%)
Special Effects Artists and Animators,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,21280.00,99800.00,41.87,Moderate (40–59%)
Speech-Language Pathologists,Healthcare Practitioners and Technical Occupations,5.00,5.00,178790.00,95410.00,40.44,Moderate (40–59%)
Speech-Language Pathology Assistants,Healthcare Support Occupations,3.00,2.00,75937.00,46050.00,28.83,Restructuring (20–39%)
Sports Medicine Physicians,Healthcare Practitioners and Technical Occupations,5.00,2.00,34183.00,249103.60,25.31,Restructuring (20–39%)
Stationary Engineers and Boiler Operators,Production Occupations,3.00,2.00,30780.00,75190.00,20.10,Restructuring (20–39%)
Statistical Assistants,Office and Administrative Support Occupations,4.00,3.00,5900.00,51440.00,84.01,High (≥60%)
Statisticians,Computer and Mathematical Occupations,5.00,5.00,18668.00,103300.00,71.76,High (≥60%)
Stockers and Order Fillers,Transportation and Material Moving Occupations,2.00,2.00,2779530.00,37090.00,23.26,Restructuring (20–39%)
"Stone Cutters and Carvers, Manufacturing",Production Occupations,2.00,2.00,14904.00,45690.00,17.41,Low (<20%)
Stonemasons,Construction and Extraction Occupations,2.00,3.00,8750.00,51990.00,10.30,Low (<20%)
Structural Iron and Steel Workers,Construction and Extraction Occupations,2.00,3.00,64720.00,62700.00,9.69,Low (<20%)
Structural Metal Fabricators and Fitters,Production Occupations,2.00,3.00,53380.00,49900.00,8.66,Low (<20%)
Substance Abuse and Behavioral Disorder Counselors,Community and Social Service Occupations,5.00,4.00,161811.67,60200.00,44.51,Moderate (40–59%)
"Substitute Teachers, Short-Term",Educational Instruction and Library Occupations,4.00,2.00,481300.00,38470.00,38.11,Restructuring (20–39%)
Subway and Streetcar Operators,Transportation and Material Moving Occupations,2.00,2.00,9200.00,84830.00,16.84,Low (<20%)
Supply Chain Managers,Management Occupations,4.00,5.00,148351.00,102010.00,37.24,Restructuring (20–39%)
Surgical Assistants,Healthcare Practitioners and Technical Occupations,3.00,3.00,22860.00,60290.00,6.89,Low (<20%)
Surgical Technologists,Healthcare Practitioners and Technical Occupations,3.00,4.00,113890.00,62830.00,7.70,Low (<20%)
Survey Researchers,"Life, Physical, and Social Science Occupations",5.00,3.00,7720.00,63380.00,60.41,High (≥60%)
Surveying and Mapping Technicians,Architecture and Engineering Occupations,3.00,2.00,56720.00,51940.00,29.73,Restructuring (20–39%)
Surveyors,Architecture and Engineering Occupations,4.00,4.00,38663.00,72740.00,33.39,Restructuring (20–39%)
Sustainability Specialists,Business and Financial Operations Occupations,4.00,4.00,111504.00,81270.00,75.53,High (≥60%)
"Switchboard Operators, Including Answering Service",Office and Administrative Support Occupations,2.00,2.00,35730.00,38370.00,72.58,High (≥60%)
"Tailors, Dressmakers, and Custom Sewers",Production Occupations,2.00,1.00,16290.00,40860.00,14.52,Low (<20%)
Talent Directors,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,57339.00,83480.00,50.97,Moderate (40–59%)
"Tank Car, Truck, and Ship Loaders",Transportation and Material Moving Occupations,2.00,2.00,10920.00,58070.00,14.53,Low (<20%)
Tapers,Construction and Extraction Occupations,2.00,4.00,12500.00,64700.00,9.44,Low (<20%)
"Tax Examiners and Collectors, and Revenue Agents",Business and Financial Operations Occupations,3.00,3.00,53530.00,59740.00,30.90,Restructuring (20–39%)
Tax Preparers,Business and Financial Operations Occupations,3.00,4.00,73570.00,50560.00,62.90,High (≥60%)
Taxi Drivers,Transportation and Material Moving Occupations,2.00,3.00,17510.00,36220.00,22.94,Restructuring (20–39%)
"Teaching Assistants, Postsecondary",Educational Instruction and Library Occupations,5.00,2.00,155010.00,44930.00,43.01,Moderate (40–59%)
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",Educational Instruction and Library Occupations,3.00,2.00,382577.50,35550.00,32.63,Restructuring (20–39%)
"Teaching Assistants, Special Education",Educational Instruction and Library Occupations,3.00,2.00,382577.50,35550.00,26.69,Restructuring (20–39%)
Team Assemblers,Production Occupations,2.00,2.00,728900.00,42210.00,13.85,Low (<20%)
Technical Writers,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,55530.00,91670.00,85.76,High (≥60%)
Telecommunications Engineering Specialists,Computer and Mathematical Occupations,3.00,5.00,80488.00,130390.00,67.97,High (≥60%)
"Telecommunications Equipment Installers and Repairers, Except Line Installers","Installation, Maintenance, and Repair Occupations",3.00,4.00,153890.00,62630.00,38.78,Restructuring (20–39%)
Telecommunications Line Installers and Repairers,"Installation, Maintenance, and Repair Occupations",2.00,3.00,98360.00,70500.00,39.03,Restructuring (20–39%)
Telemarketers,Sales and Related Occupations,2.00,1.00,66430.00,34410.00,83.26,High (≥60%)
Telephone Operators,Office and Administrative Support Occupations,2.00,2.00,3950.00,39130.00,52.49,Moderate (40–59%)
Tellers,Office and Administrative Support Occupations,2.00,2.00,339340.00,39340.00,45.63,Moderate (40–59%)
Terrazzo Workers and Finishers,Construction and Extraction Occupations,2.00,4.00,1450.00,57260.00,20.46,Restructuring (20–39%)
Textile Bleaching and Dyeing Machine Operators and Tenders,Production Occupations,2.00,1.00,5820.00,37320.00,18.56,Low (<20%)
"Textile Cutting Machine Setters, Operators, and Tenders",Production Occupations,2.00,1.00,8960.00,37940.00,17.74,Low (<20%)
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",Production Occupations,2.00,1.00,14530.00,38260.00,12.11,Low (<20%)
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",Production Occupations,2.00,1.00,20600.00,37660.00,6.28,Low (<20%)
Tile and Stone Setters,Construction and Extraction Occupations,2.00,4.00,38740.00,52240.00,16.11,Low (<20%)
Timing Device Assemblers and Adjusters,Production Occupations,2.00,2.00,230.00,40790.00,9.74,Low (<20%)
Tire Builders,Production Occupations,2.00,2.00,20970.00,55580.00,1.99,Low (<20%)
Tire Repairers and Changers,"Installation, Maintenance, and Repair Occupations",2.00,2.00,106620.00,37120.00,8.09,Low (<20%)
"Title Examiners, Abstractors, and Searchers",Legal Occupations,2.00,3.00,48170.00,54980.00,66.18,High (≥60%)
"Tool Grinders, Filers, and Sharpeners",Production Occupations,2.00,2.00,5730.00,48970.00,20.82,Restructuring (20–39%)
Tool and Die Makers,Production Occupations,3.00,3.00,55130.00,63180.00,22.89,Restructuring (20–39%)
Tour Guides and Escorts,Personal Care and Service Occupations,3.00,2.00,24505.00,36660.00,36.88,Restructuring (20–39%)
Traffic Technicians,Transportation and Material Moving Occupations,3.00,2.00,7580.00,58480.00,26.05,Restructuring (20–39%)
Training and Development Managers,Management Occupations,4.00,4.00,44960.00,127090.00,85.71,High (≥60%)
Training and Development Specialists,Business and Financial Operations Occupations,4.00,4.00,436610.00,65850.00,60.20,High (≥60%)
Transit and Railroad Police,Protective Service Occupations,3.00,5.00,3000.00,82320.00,24.91,Restructuring (20–39%)
Transportation Engineers,Architecture and Engineering Occupations,4.00,5.00,118470.00,99590.00,57.51,Moderate (40–59%)
Transportation Inspectors,Transportation and Material Moving Occupations,4.00,3.00,7773.33,85750.00,23.78,Restructuring (20–39%)
Transportation Planners,"Life, Physical, and Social Science Occupations",4.00,2.00,36970.00,100340.00,57.57,Moderate (40–59%)
Transportation Security Screeners,Protective Service Occupations,2.00,2.00,46340.00,63360.00,44.68,Moderate (40–59%)
"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",Transportation and Material Moving Occupations,2.00,3.00,7773.33,85750.00,21.75,Restructuring (20–39%)
"Transportation, Storage, and Distribution Managers",Management Occupations,4.00,5.00,64649.00,102010.00,27.35,Restructuring (20–39%)
Travel Agents,Sales and Related Occupations,3.00,2.00,59150.00,48450.00,71.20,High (≥60%)
Travel Guides,Personal Care and Service Occupations,2.00,2.00,24505.00,36660.00,50.12,Moderate (40–59%)
Treasurers and Controllers,Management Occupations,4.00,5.00,286560.00,161700.00,47.63,Moderate (40–59%)
Tree Trimmers and Pruners,Building and Grounds Cleaning and Maintenance Occupations,2.00,3.00,47870.00,50430.00,8.23,Low (<20%)
Tutors,Educational Instruction and Library Occupations,3.00,2.00,174660.00,40090.00,71.38,High (≥60%)
"Umpires, Referees, and Other Sports Officials","Arts, Design, Entertainment, Sports, and Media Occupations",2.00,1.00,15080.00,38820.00,13.30,Low (<20%)
Upholsterers,Production Occupations,2.00,2.00,20990.00,46190.00,18.70,Low (<20%)
Urban and Regional Planners,"Life, Physical, and Social Science Occupations",5.00,4.00,43040.00,83720.00,41.57,Moderate (40–59%)
Urologists,Healthcare Practitioners and Technical Occupations,5.00,2.00,19891.00,249103.60,27.09,Restructuring (20–39%)
"Ushers, Lobby Attendants, and Ticket Takers",Personal Care and Service Occupations,2.00,2.00,119210.00,31150.00,37.60,Restructuring (20–39%)
Validation Engineers,Architecture and Engineering Occupations,4.00,4.00,87557.50,101140.00,35.48,Restructuring (20–39%)
Veterinarians,Healthcare Practitioners and Technical Occupations,5.00,5.00,80630.00,125510.00,34.16,Restructuring (20–39%)
Veterinary Assistants and Laboratory Animal Caretakers,Healthcare Support Occupations,2.00,2.00,114190.00,37320.00,21.56,Restructuring (20–39%)
Veterinary Technologists and Technicians,Healthcare Practitioners and Technical Occupations,3.00,2.00,131320.00,45980.00,23.55,Restructuring (20–39%)
Video Game Designers,Computer and Mathematical Occupations,4.00,5.00,55700.00,98090.00,60.30,High (≥60%)
Waiters and Waitresses,Food Preparation and Serving Related Occupations,2.00,2.00,2302690.00,33760.00,39.41,Restructuring (20–39%)
Watch and Clock Repairers,"Installation, Maintenance, and Repair Occupations",3.00,2.00,1300.00,60690.00,16.48,Low (<20%)
Water Resource Specialists,Management Occupations,4.00,5.00,16173.00,161180.00,33.28,Restructuring (20–39%)
Water and Wastewater Treatment Plant and System Operators,Production Occupations,2.00,3.00,126750.00,58260.00,0.00,Low (<20%)
Water/Wastewater Engineers,Architecture and Engineering Occupations,4.00,5.00,118470.00,99590.00,41.50,Moderate (40–59%)
Weatherization Installers and Technicians,Construction and Extraction Occupations,2.00,3.00,16765.00,48120.00,22.02,Restructuring (20–39%)
Web Administrators,Computer and Mathematical Occupations,4.00,5.00,189336.00,108970.00,69.77,High (≥60%)
Web Developers,Computer and Mathematical Occupations,3.00,5.00,67083.73,94570.68,84.52,High (≥60%)
Web and Digital Interface Designers,Computer and Mathematical Occupations,4.00,5.00,67083.73,94570.68,51.24,Moderate (40–59%)
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",Office and Administrative Support Occupations,2.00,2.00,49720.00,45650.00,32.67,Restructuring (20–39%)
"Welders, Cutters, Solderers, and Brazers",Production Occupations,2.00,3.00,424040.00,51000.00,16.18,Low (<20%)
