title_current,major,job_zone,outlook,emp,wage,pct,tier
Construction Laborers,Construction and Extraction Occupations,2.00,3.00,1057660.00,46730.00,11.96,Low (<20%)
Construction Managers,Management Occupations,4.00,5.00,348330.00,106980.00,42.49,Moderate (40–59%)
Construction and Building Inspectors,Construction and Extraction Occupations,3.00,4.00,85782.00,72120.00,24.32,Restructuring (20–39%)
Continuous Mining Machine Operators,Construction and Extraction Occupations,2.00,4.00,14340.00,63380.00,7.01,Low (<20%)
"Control and Valve Installers and Repairers, Except Mechanical Door","Installation, Maintenance, and Repair Occupations",3.00,4.00,46920.00,74690.00,24.17,Restructuring (20–39%)
Conveyor Operators and Tenders,Transportation and Material Moving Occupations,1.00,2.00,26060.00,41230.00,20.08,Restructuring (20–39%)
"Cooks, Fast Food",Food Preparation and Serving Related Occupations,1.00,2.00,668230.00,30160.00,40.84,Moderate (40–59%)
"Cooks, Institution and Cafeteria",Food Preparation and Serving Related Occupations,2.00,2.00,448260.00,36450.00,16.33,Low (<20%)
"Cooks, Private Household",Food Preparation and Serving Related Occupations,3.00,2.00,900.00,44530.00,41.42,Moderate (40–59%)
"Cooks, Restaurant",Food Preparation and Serving Related Occupations,2.00,2.00,1452130.00,36830.00,46.27,Moderate (40–59%)
"Cooks, Short Order",Food Preparation and Serving Related Occupations,2.00,2.00,150420.00,35620.00,49.64,Moderate (40–59%)
Cooling and Freezing Equipment Operators and Tenders,Production Occupations,2.00,2.00,6590.00,40160.00,24.18,Restructuring (20–39%)
Coroners,Business and Financial Operations Occupations,3.00,4.00,27241.00,78420.00,32.08,Restructuring (20–39%)
Correctional Officers and Jailers,Protective Service Occupations,2.00,4.00,365380.00,57970.00,18.03,Low (<20%)
Correspondence Clerks,Office and Administrative Support Occupations,2.00,1.00,6260.00,46740.00,50.43,Moderate (40–59%)
Cost Estimators,Business and Financial Operations Occupations,4.00,4.00,219530.00,77070.00,56.37,Moderate (40–59%)
Costume Attendants,Personal Care and Service Occupations,2.00,2.00,6290.00,54810.00,30.36,Restructuring (20–39%)
Counter and Rental Clerks,Sales and Related Occupations,2.00,2.00,398620.00,38540.00,70.76,High (≥60%)
