title_current,pct,pct_ceiling,ai_projection,exposure_projection,major,job_zone,outlook,emp_nat
"Career/Technical Education Teachers, Postsecondary",32.38,42.84,45.44,67.40,Educational Instruction and Library Occupations,3.00,4.00,111150.00
First-Line Supervisors of Correctional Officers,26.39,37.29,45.40,68.32,Protective Service Occupations,3.00,4.00,53390.00
"Physics Teachers, Postsecondary",80.44,86.07,45.40,71.46,Educational Instruction and Library Occupations,5.00,4.00,13590.00
"Anthropology and Archeology Teachers, Postsecondary",70.86,77.58,45.35,74.13,Educational Instruction and Library Occupations,5.00,3.00,5260.00
"English Language and Literature Teachers, Postsecondary",71.86,81.79,45.34,74.50,Educational Instruction and Library Occupations,5.00,4.00,59590.00
Landscape Architects,44.00,46.66,45.20,65.54,Architecture and Engineering Occupations,4.00,4.00,19580.00
"Mining and Geological Engineers, Including Mining Safety Engineers",25.19,36.10,45.11,66.41,Architecture and Engineering Occupations,4.00,4.00,6770.00
Sales Engineers,72.01,78.04,45.01,70.47,Sales and Related Occupations,4.00,4.00,56690.00
"Environmental Scientists and Specialists, Including Health",49.68,52.28,44.91,71.07,"Life, Physical, and Social Science Occupations",4.00,4.00,30210.00
Geneticists,47.63,64.10,44.83,69.32,"Life, Physical, and Social Science Occupations",5.00,4.00,10170.00
Advertising and Promotions Managers,53.17,68.99,44.80,71.24,Management Occupations,4.00,3.00,21100.00
Chiropractors,36.39,38.87,44.72,66.01,Healthcare Practitioners and Technical Occupations,5.00,4.00,37630.00
Real Estate Sales Agents,78.11,82.72,44.72,66.64,Sales and Related Occupations,3.00,4.00,190600.00
Training and Development Specialists,60.20,61.26,44.57,71.45,Business and Financial Operations Occupations,4.00,4.00,436610.00
Orthodontists,31.79,31.79,44.47,67.08,Healthcare Practitioners and Technical Occupations,5.00,5.00,5150.00
"Dentists, General",33.43,33.43,44.46,67.46,Healthcare Practitioners and Technical Occupations,5.00,5.00,113490.00
Sociologists,70.51,71.20,44.45,71.46,"Life, Physical, and Social Science Occupations",5.00,3.00,2950.00
Astronomers,72.49,72.67,44.44,68.15,"Life, Physical, and Social Science Occupations",5.00,4.00,1560.00
Electrical Engineers,46.76,54.63,44.42,64.88,Architecture and Engineering Occupations,4.00,5.00,188790.00
Wind Energy Engineers,31.40,32.49,44.41,61.53,Architecture and Engineering Occupations,4.00,5.00,3499.00
Water Resource Specialists,33.28,38.65,44.40,63.46,Management Occupations,4.00,5.00,16173.00
Occupational Therapists,40.17,42.94,44.31,67.91,Healthcare Practitioners and Technical Occupations,5.00,5.00,55895.00
Physical Therapists,48.91,51.85,44.27,67.25,Healthcare Practitioners and Technical Occupations,5.00,5.00,248630.00
Petroleum Engineers,20.42,32.02,44.27,65.93,Architecture and Engineering Occupations,4.00,4.00,18970.00
Market Research Analysts and Marketing Specialists,89.50,92.71,44.14,68.80,Business and Financial Operations Occupations,4.00,4.00,430570.00
