title_current,config,pct_first,pct_last,pct_delta
General and Operations Managers,human_conversation,17.96,25.56,7.60
Manufactured Building and Mobile Home Installers,human_conversation,25.71,26.17,0.46
Respiratory Therapists,human_conversation,13.55,15.65,2.10
Airfield Operations Specialists,human_conversation,27.12,28.38,1.26
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",human_conversation,16.10,21.63,5.54
Wind Energy Development Managers,human_conversation,13.94,13.94,0.00
Forest Fire Inspectors and Prevention Specialists,human_conversation,6.29,12.20,5.91
Athletic Trainers,human_conversation,21.25,29.12,7.87
Aircraft Cargo Handling Supervisors,human_conversation,20.85,20.85,0.00
Energy Auditors,human_conversation,18.46,28.20,9.74
Transit and Railroad Police,human_conversation,13.96,24.91,10.95
Firefighters,human_conversation,13.47,13.47,0.00
Solar Thermal Installers and Technicians,human_conversation,8.43,8.43,0.00
Music Therapists,human_conversation,11.66,25.95,14.29
Administrative Services Managers,human_conversation,21.00,21.21,0.20
"Morticians, Undertakers, and Funeral Arrangers",human_conversation,22.38,22.38,0.00
Geodetic Surveyors,human_conversation,15.85,19.01,3.16
"Geoscientists, Except Hydrologists and Geographers",human_conversation,26.31,30.46,4.14
"Opticians, Dispensing",human_conversation,20.21,20.21,0.00
Media Technical Directors/Managers,human_conversation,23.92,23.92,0.00
Neurodiagnostic Technologists,human_conversation,12.74,19.38,6.65
Orthoptists,human_conversation,13.64,16.37,2.72
Aircraft Mechanics and Service Technicians,human_conversation,14.03,14.03,0.00
Acupuncturists,human_conversation,7.33,19.67,12.34
"Special Education Teachers, Preschool",human_conversation,23.26,30.85,7.59
"Securities, Commodities, and Financial Services Sales Agents",human_conversation,29.00,29.00,0.00
Air Traffic Controllers,human_conversation,25.44,30.21,4.77
Recreation Workers,human_conversation,29.24,31.95,2.71
Recycling Coordinators,human_conversation,13.88,16.18,2.30
Biofuels/Biodiesel Technology and Product Development Managers,human_conversation,16.40,22.85,6.45
Traffic Technicians,human_conversation,21.51,26.05,4.53
Nuclear Technicians,human_conversation,17.93,17.93,0.00
Radiation Therapists,human_conversation,13.57,15.26,1.69
Financial Examiners,human_conversation,13.44,18.28,4.85
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",human_conversation,27.05,27.05,0.00
"Environmental Science and Protection Technicians, Including Health",human_conversation,21.88,29.56,7.68
Industrial Engineering Technologists and Technicians,human_conversation,30.38,30.38,0.00
Wind Turbine Service Technicians,human_conversation,29.01,29.01,0.00
Producers and Directors,human_conversation,28.12,28.12,0.00
Occupational Therapy Assistants,human_conversation,14.51,14.62,0.11
Correctional Officers and Jailers,human_conversation,15.05,16.56,1.51
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",human_conversation,7.87,7.87,0.00
Commercial Pilots,human_conversation,23.39,23.97,0.58
Avionics Technicians,human_conversation,24.26,29.42,5.16
"Electrical and Electronics Installers and Repairers, Transportation Equipment",human_conversation,23.50,26.09,2.59
Millwrights,human_conversation,14.86,14.86,0.00
Psychiatric Technicians,human_conversation,12.21,15.72,3.52
Water and Wastewater Treatment Plant and System Operators,human_conversation,0.00,0.00,0.00
Magnetic Resonance Imaging Technologists,human_conversation,16.48,22.02,5.54
Prosthodontists,human_conversation,5.07,7.89,2.82
Licensed Practical and Licensed Vocational Nurses,human_conversation,14.11,20.16,6.05
Accountants and Auditors,human_conversation,28.09,28.09,0.00
Fire Inspectors and Investigators,human_conversation,21.51,21.51,0.00
Chemical Equipment Operators and Tenders,human_conversation,14.71,14.86,0.15
Physical Therapist Assistants,human_conversation,12.47,13.17,0.71
Anesthesiologist Assistants,human_conversation,10.13,10.49,0.35
Forest and Conservation Technicians,human_conversation,16.84,21.02,4.18
Environmental Engineering Technologists and Technicians,human_conversation,31.26,31.26,0.00
Nuclear Power Reactor Operators,human_conversation,8.97,8.97,0.00
"Service Unit Operators, Oil and Gas",human_conversation,6.07,6.07,0.00
Shuttle Drivers and Chauffeurs,human_conversation,16.14,16.14,0.00
Gas Compressor and Gas Pumping Station Operators,human_conversation,0.83,0.83,0.00
Radiologic Technologists and Technicians,human_conversation,20.21,20.21,0.00
"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",human_conversation,32.63,32.63,0.00
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",human_conversation,24.89,24.89,0.00
Preventive Medicine Physicians,agentic_confirmed,0.00,0.00,0.00
Urologists,agentic_confirmed,0.00,14.31,14.31
Nurse Anesthetists,agentic_confirmed,0.00,0.00,0.00
General Internal Medicine Physicians,agentic_confirmed,19.65,28.46,8.81
Physical Medicine and Rehabilitation Physicians,agentic_confirmed,0.00,0.00,0.00
"Education Administrators, Kindergarten through Secondary",agentic_confirmed,18.19,22.08,3.89
Audiologists,agentic_confirmed,0.00,0.00,0.00
Nuclear Engineers,agentic_confirmed,8.32,8.32,0.00
Emergency Management Directors,agentic_confirmed,0.00,0.00,0.00
Optometrists,agentic_confirmed,19.12,19.12,0.00
Geothermal Production Managers,agentic_confirmed,0.00,0.00,0.00
Neuropsychologists,agentic_confirmed,0.00,3.89,3.89
Hospitalists,agentic_confirmed,0.00,0.00,0.00
Hydroelectric Production Managers,agentic_confirmed,0.00,0.00,0.00
Coroners,agentic_confirmed,0.00,0.00,0.00
Emergency Medicine Physicians,agentic_confirmed,0.00,0.00,0.00
Orthotists and Prosthetists,agentic_confirmed,0.00,0.00,0.00
Biomass Power Plant Managers,agentic_confirmed,2.77,2.81,0.04
Podiatrists,agentic_confirmed,0.00,0.00,0.00
Occupational Health and Safety Specialists,agentic_confirmed,0.42,0.42,0.00
Biofuels Production Managers,agentic_confirmed,0.00,0.00,0.00
Allergists and Immunologists,agentic_confirmed,11.09,23.74,12.66
Epidemiologists,agentic_confirmed,0.87,8.99,8.13
Media Programming Directors,agentic_confirmed,17.98,26.93,8.95
Clinical Neuropsychologists,agentic_confirmed,0.00,5.05,5.05
"Ophthalmologists, Except Pediatric",agentic_confirmed,0.00,9.39,9.39
Materials Engineers,agentic_confirmed,0.00,0.00,0.00
Health Education Specialists,agentic_confirmed,28.78,34.06,5.27
Family Medicine Physicians,agentic_confirmed,12.10,19.70,7.60
Chief Sustainability Officers,agentic_confirmed,0.00,0.00,0.00
Aviation Inspectors,agentic_confirmed,0.00,0.00,0.00
"Education and Childcare Administrators, Preschool and Daycare",agentic_confirmed,6.74,25.03,18.29
"Physicians, Pathologists",agentic_confirmed,24.82,25.60,0.78
First-Line Supervisors of Firefighting and Prevention Workers,agentic_confirmed,2.77,2.77,0.00
Critical Care Nurses,agentic_confirmed,9.54,9.54,0.00
Anesthesiologists,agentic_confirmed,0.39,0.39,0.00
First-Line Supervisors of Material-Moving Machine and Vehicle Operators,agentic_confirmed,3.98,5.16,1.18
Financial Managers,agentic_confirmed,52.45,72.07,19.62
Acute Care Nurses,agentic_confirmed,9.99,12.74,2.75
Marine Engineers and Naval Architects,agentic_confirmed,3.10,5.12,2.02
