category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,z_human_conv,z_aei_api,z_microsoft,z_mcp
Structural Iron and Steel Workers,8.10,9.21,5.17,3.00,0.73,1.48,-0.48,-2.16
Tire Repairers and Changers,8.09,0.00,4.86,1.09,2.39,-1.34,0.41,-0.79
Elevator and Escalator Installers and Repairers,8.02,0.00,8.02,12.64,0.18,-3.58,0.18,1.58
Print Binding and Finishing Workers,8.02,0.00,7.26,14.23,0.12,-2.57,-0.02,2.06
Prosthodontists,7.89,10.45,5.07,0.00,0.52,1.53,-0.19,-2.90
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7.87,3.23,7.87,13.34,-0.05,-2.05,-0.05,2.62
Refuse and Recyclable Material Collectors,7.76,1.83,6.26,15.41,-0.01,-1.63,-0.30,3.29
Surgical Technologists,7.70,0.00,4.87,5.89,1.31,-4.28,0.08,0.44
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7.60,0.00,7.60,1.96,1.12,-1.76,1.12,-0.71
Facilities Managers,7.55,1.86,7.55,36.06,-0.42,-0.92,-0.42,9.27
Rail Car Repairers,7.40,0.00,7.40,8.39,0.47,-13.59,0.47,0.81
"Loading and Moving Machine Operators, Underground Mining",7.19,0.00,7.19,6.91,0.61,-43.97,0.61,0.51
Ophthalmic Medical Technologists,7.17,0.00,7.17,9.80,0.30,-5.31,0.30,1.21
Continuous Mining Machine Operators,7.01,0.00,7.01,6.19,0.68,-14.37,0.68,0.38
Surgical Assistants,6.89,0.00,4.98,5.16,1.20,-5.36,0.27,0.34
Dental Hygienists,6.72,9.13,4.65,12.47,-0.52,0.29,-1.66,2.51
"Rock Splitters, Quarry",6.41,0.00,6.41,0.00,1.15,-1.15,1.15,-1.15
Motorboat Operators,6.31,0.00,0.27,6.66,1.06,-1.23,-1.08,1.25
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",6.28,0.00,6.28,14.70,-0.10,-1.87,-0.10,2.90
Helpers--Carpenters,6.10,0.00,6.10,1.33,1.13,-1.64,1.13,-0.78
"Service Unit Operators, Oil and Gas",6.07,3.66,6.07,7.87,0.10,-2.91,0.10,1.86
"Laborers and Freight, Stock, and Material Movers, Hand",5.97,0.00,5.97,16.64,-0.19,-1.55,-0.19,3.67
Landscaping and Groundskeeping Workers,5.83,0.00,5.83,11.10,0.03,-2.49,0.03,2.15
Fishing and Hunting Workers,5.81,0.00,5.81,4.30,0.81,-6.07,0.81,0.13
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",5.69,3.85,5.69,8.45,-0.13,-1.73,-0.13,3.17
Anesthesiologists,5.60,0.39,5.14,5.21,0.73,-19.74,0.48,0.52
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",5.52,0.00,5.52,5.71,0.55,-51.43,0.55,0.64
"Earth Drillers, Except Oil and Gas",5.49,0.00,5.49,8.49,0.19,-3.75,0.19,1.52
Industrial Truck and Tractor Operators,5.43,0.00,5.43,29.31,-0.39,-0.97,-0.39,8.19
Segmental Pavers,5.39,0.00,5.39,3.23,0.93,-3.74,0.93,-0.12
Dishwashers,5.27,0.00,5.27,0.00,1.15,-1.15,1.15,-1.15
Packaging and Filling Machine Operators and Tenders,5.10,0.00,5.10,20.51,-0.32,-1.15,-0.32,5.81
"Explosives Workers, Ordnance Handling Experts, and Blasters",5.05,0.00,5.05,11.02,-0.06,-2.04,-0.06,2.62
Histology Technicians,4.99,7.20,4.99,2.02,0.10,1.86,0.10,-2.91
Orderlies,4.94,0.00,4.94,5.85,0.43,-9.98,0.43,0.90
Cleaners of Vehicles and Equipment,4.91,0.00,4.91,3.65,0.81,-6.14,0.81,0.13
Automotive Glass Installers and Repairers,4.75,0.00,4.75,0.00,1.15,-1.15,1.15,-1.15
Manicurists and Pedicurists,4.60,5.80,3.76,12.89,-0.60,-0.25,-0.89,7.99
Roofers,4.58,5.41,2.77,0.00,0.68,1.28,-0.19,-3.16
Ship Engineers,4.44,5.91,4.44,9.81,-0.82,-0.10,-0.82,5.75
Machine Feeders and Offbearers,4.35,0.00,4.35,9.81,-0.08,-1.96,-0.08,2.75
Biofuels Production Managers,4.10,0.00,4.10,18.20,-0.35,-1.08,-0.35,6.53
Logging Equipment Operators,3.97,0.00,3.97,4.38,0.49,-17.02,0.49,0.76
First-Line Supervisors of Firefighting and Prevention Workers,3.73,2.77,3.73,15.84,-0.51,-0.72,-0.51,22.33
Helpers--Extraction Workers,3.66,0.00,3.66,0.00,1.15,-1.15,1.15,-1.15
Highway Maintenance Workers,3.21,0.00,3.21,0.00,1.15,-1.15,1.15,-1.15
Locksmiths and Safe Repairers,3.11,0.00,3.11,7.39,-0.11,-1.83,-0.11,2.96
Maids and Housekeeping Cleaners,2.80,0.00,2.80,6.15,-0.06,-2.02,-0.06,2.65
"Roustabouts, Oil and Gas",2.46,0.00,2.46,1.09,1.04,-2.53,1.04,-0.39
Helpers--Roofers,2.34,0.00,2.34,0.00,1.15,-1.15,1.15,-1.15
Tire Builders,1.99,0.00,1.99,0.00,1.15,-1.15,1.15,-1.15
Endoscopy Technicians,1.46,0.00,1.46,1.49,0.56,-93.51,0.56,0.61
Ophthalmic Medical Technicians,1.21,0.00,1.21,2.14,0.09,-2.83,0.09,1.91
Medical Equipment Preparers,0.97,0.00,0.97,8.59,-0.47,-0.80,-0.47,14.18
"Paving, Surfacing, and Tamping Equipment Operators",0.90,0.00,0.90,0.00,1.15,-1.15,1.15,-1.15
Gas Compressor and Gas Pumping Station Operators,0.83,0.00,0.83,51.14,-0.56,-0.61,-0.56,105.29
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,0.00,0.54,3.84,-0.44,-0.86,-0.44,11.15
Recycling and Reclamation Workers,0.00,0.00,0.00,13.56,-0.58,-0.58,-0.58,
Rail-Track Laying and Maintenance Equipment Operators,0.00,0.00,0.00,0.77,-0.58,-0.58,-0.58,
Pile Driver Operators,0.00,0.00,0.00,6.36,-0.58,-0.58,-0.58,
Floor Sanders and Finishers,0.00,0.00,0.00,0.00,,,,
Dredge Operators,0.00,0.00,0.00,10.32,-0.58,-0.58,-0.58,
Bridge and Lock Tenders,0.00,0.00,0.00,22.87,-0.58,-0.58,-0.58,
Foundry Mold and Coremakers,0.00,0.00,0.00,1.73,-0.58,-0.58,-0.58,
Water and Wastewater Treatment Plant and System Operators,0.00,0.00,0.00,16.84,-0.58,-0.58,-0.58,
