category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,z_human_conv,z_aei_api,z_microsoft,z_mcp
Online Merchants,68.55,68.38,42.62,87.39,0.11,0.10,-2.94,1.85
"Physics Teachers, Postsecondary",67.65,60.03,30.93,27.45,1.57,0.81,-0.97,-1.31
Geographers,67.38,25.60,49.50,44.35,2.19,-2.33,0.18,-0.15
Database Administrators,67.29,40.56,46.31,71.03,0.91,-1.57,-0.80,1.40
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",67.23,49.12,44.57,77.01,0.59,-0.83,-1.41,1.95
Tutors,67.17,30.80,32.33,31.58,46.54,-0.63,-0.52,-0.58
"Architecture Teachers, Postsecondary",67.16,58.13,30.41,25.62,1.66,0.75,-0.91,-1.37
"Political Science Teachers, Postsecondary",66.64,62.15,34.49,25.42,1.36,0.92,-0.75,-1.67
"Philosophy and Religion Teachers, Postsecondary",66.41,62.34,31.73,29.74,1.38,0.96,-1.05,-1.25
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",66.18,59.56,44.84,57.31,1.55,0.32,-3.51,0.04
"Biological Science Teachers, Postsecondary",66.04,46.38,30.08,29.12,3.18,0.22,-0.93,-1.02
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",65.95,54.44,42.35,56.51,1.94,-0.04,-2.71,0.19
"Social Work Teachers, Postsecondary",65.36,62.03,31.59,26.66,1.32,0.99,-0.92,-1.42
"Office Clerks, General",65.33,51.24,40.39,69.41,0.79,-0.45,-2.27,1.37
Financial Quantitative Analysts,65.29,71.15,46.70,60.74,0.47,1.40,-3.64,-0.02
Advertising Sales Agents,65.16,44.12,50.03,52.27,3.88,-1.43,-0.36,-0.08
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",65.15,58.90,33.29,29.36,1.54,0.83,-0.93,-1.37
Brokerage Clerks,64.96,35.42,46.55,57.14,1.71,-2.25,-0.39,0.55
Data Warehousing Specialists,64.77,71.54,46.74,72.81,0.07,0.76,-5.31,0.92
"Environmental Science Teachers, Postsecondary",64.42,52.18,26.80,29.59,2.03,0.57,-1.24,-0.95
"Agricultural Sciences Teachers, Postsecondary",64.33,55.78,33.02,26.08,1.68,0.72,-0.78,-1.54
Receptionists and Information Clerks,64.28,50.12,32.72,69.52,0.73,-0.27,-2.85,1.30
Business Intelligence Analysts,64.12,85.24,46.81,68.08,-0.13,2.26,-2.29,0.14
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",64.04,58.36,39.83,57.82,1.14,0.35,-5.88,0.30
"Geography Teachers, Postsecondary",63.75,54.17,34.33,32.13,1.94,0.61,-0.97,-1.24
Real Estate Sales Agents,63.65,59.50,33.61,45.65,1.34,0.78,-2.40,-0.41
Historians,63.59,41.33,48.25,24.62,2.10,-0.21,0.26,-2.32
Computer and Information Research Scientists,63.59,43.47,33.57,46.05,3.42,-0.28,-1.60,-0.05
"Forestry and Conservation Science Teachers, Postsecondary",63.40,51.86,32.02,28.75,2.07,0.55,-0.91,-1.28
Desktop Publishers,63.36,46.72,43.24,66.96,0.86,-0.87,-1.46,1.47
Travel Agents,63.33,62.84,31.79,50.57,0.95,0.90,-3.75,-0.11
Computer Programmers,63.25,65.53,47.94,73.46,0.07,0.31,-3.63,1.52
