category,pct_tasks_affected_confirmed,workers_affected_confirmed,wages_affected_confirmed,dataset_confirmed,agg_level_confirmed,pct_tasks_affected_ceiling,workers_affected_ceiling,wages_affected_ceiling,dataset_ceiling,agg_level_ceiling,pct_tasks_affected_gap,workers_affected_gap,wages_affected_gap
Computer Numerically Controlled Tool Operators and Programmers,38.39,73659.34,3916015839.35,AEI Both + Micro 2026-02-12,broad,50.56,99724.24,5258399570.43,All 2026-02-18,broad,12.17,26064.90,1342383731.08
Aircraft Pilots and Flight Engineers,19.63,28532.88,5036887618.82,AEI Both + Micro 2026-02-12,broad,36.07,53954.32,10102297323.85,All 2026-02-18,broad,16.44,25421.43,5065409705.03
Construction Equipment Operators,4.38,43652.81,2559969741.66,AEI Both + Micro 2026-02-12,broad,7.69,68911.88,4045210924.16,All 2026-02-18,broad,3.31,25259.07,1485241182.50
Miscellaneous Healthcare Diagnosing or Treating Practitioners,23.82,35577.94,3555093906.75,AEI Both + Micro 2026-02-12,broad,28.64,59797.69,5851754537.72,All 2026-02-18,broad,4.82,24219.74,2296660630.97
Data Entry and Information Processing Workers,70.94,116189.39,4846582199.54,AEI Both + Micro 2026-02-12,broad,85.67,140317.78,5852985572.93,All 2026-02-18,broad,14.72,24128.38,1006403373.39
Market Research Analysts and Marketing Specialists,89.60,771369.57,59356888087.82,AEI Both + Micro 2026-02-12,broad,92.24,795459.07,61210575304.10,All 2026-02-18,broad,2.63,24089.50,1853687216.28
"Athletes, Coaches, Umpires, and Related Workers",41.18,146912.98,6842201651.30,AEI Both + Micro 2026-02-12,broad,49.89,170296.89,7897367086.03,All 2026-02-18,broad,8.70,23383.92,1055165434.73
"Miscellaneous Installation, Maintenance, and Repair Workers",21.04,91931.56,4437884269.40,AEI Both + Micro 2026-02-12,broad,28.89,114999.20,5577245103.76,All 2026-02-18,broad,7.85,23067.64,1139360834.37
Reservation and Transportation Ticket Agents and Travel Clerks,50.48,64332.29,2667216715.31,AEI Both + Micro 2026-02-12,broad,68.47,87254.95,3617590037.22,All 2026-02-18,broad,17.99,22922.66,950373321.91
First-Line Supervisors of Entertainment and Recreation Workers,35.72,37003.85,2020043747.65,AEI Both + Micro 2026-02-12,broad,45.28,59896.32,3232297900.39,All 2026-02-18,broad,9.56,22892.46,1212254152.74
Psychologists,31.69,59380.57,5844449713.72,AEI Both + Micro 2026-02-12,broad,40.56,82264.38,7957363338.51,All 2026-02-18,broad,8.88,22883.81,2112913624.79
Childcare Workers,38.28,199719.27,6401002709.32,AEI Both + Micro 2026-02-12,broad,43.61,222446.01,7129394771.91,All 2026-02-18,broad,5.32,22726.74,728392062.60
Construction and Building Inspectors,26.45,35799.57,2581864672.31,AEI Both + Micro 2026-02-12,broad,42.99,58495.49,4218695032.29,All 2026-02-18,broad,16.54,22695.93,1636830359.98
"Miscellaneous Life, Physical, and Social Science Technicians",32.25,29833.56,1864996693.99,AEI Both + Micro 2026-02-12,broad,53.50,52425.44,3234890504.12,All 2026-02-18,broad,21.26,22591.88,1369893810.12
First-Line Supervisors of Personal Service Workers,27.95,30100.48,1569362658.12,AEI Both + Micro 2026-02-12,broad,48.69,52437.14,2733939214.66,All 2026-02-18,broad,20.74,22336.66,1164576556.53
Miscellaneous Food Processing Workers,19.12,50477.13,2061713305.34,AEI Both + Micro 2026-02-12,broad,32.61,72540.58,2967746473.65,All 2026-02-18,broad,13.49,22063.46,906033168.31
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic",20.50,56956.58,2615216790.81,AEI Both + Micro 2026-02-12,broad,27.62,78790.50,3614080993.06,All 2026-02-18,broad,7.12,21833.91,998864202.25
Electrical and Electronics Engineers,52.13,141793.48,16707192171.26,AEI Both + Micro 2026-02-12,broad,60.68,163241.91,19210784532.49,All 2026-02-18,broad,8.55,21448.43,2503592361.23
Data Scientists,70.45,177270.07,19958836925.62,AEI Both + Micro 2026-02-12,broad,83.97,198701.78,22371833188.54,All 2026-02-18,broad,13.52,21431.71,2412996262.92
