broad,broad_avg_pct,broad_rank,major,major_avg_pct,major_rank,rank_deviation,pct_deviation
Financial Analysts and Advisors,54.03,93.00,Business and Financial Operations Occupations,51.70,5.00,-88.00,2.33
Financial Examiners,19.16,331.00,Business and Financial Operations Occupations,51.70,5.00,-326.00,-32.53
Financial Managers,54.03,94.00,Management Occupations,36.26,11.00,-83.00,17.77
Fire Inspectors,16.86,350.00,Protective Service Occupations,31.96,14.00,-336.00,-15.11
Firefighters,13.47,375.00,Protective Service Occupations,31.96,14.00,-361.00,-18.50
First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers,34.27,214.00,Building and Grounds Cleaning and Maintenance Occupations,18.17,19.00,-195.00,16.10
First-Line Supervisors of Construction Trades and Extraction Workers,47.21,128.00,Construction and Extraction Occupations,14.38,22.00,-106.00,32.83
First-Line Supervisors of Entertainment and Recreation Workers,31.53,236.00,Personal Care and Service Occupations,32.09,13.00,-223.00,-0.56
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7.87,418.00,"Farming, Fishing, and Forestry Occupations",15.89,21.00,-397.00,-8.02
First-Line Supervisors of Firefighting and Prevention Workers,3.73,430.00,Protective Service Occupations,31.96,14.00,-416.00,-28.23
First-Line Supervisors of Law Enforcement Workers,22.40,301.00,Protective Service Occupations,31.96,14.00,-287.00,-9.56
"First-Line Supervisors of Mechanics, Installers, and Repairers",48.72,122.00,"Installation, Maintenance, and Repair Occupations",24.56,17.00,-105.00,24.16
First-Line Supervisors of Office and Administrative Support Workers,68.43,47.00,Office and Administrative Support Occupations,52.87,4.00,-43.00,15.55
First-Line Supervisors of Personal Service Workers,27.95,263.00,Personal Care and Service Occupations,32.09,13.00,-250.00,-4.14
First-Line Supervisors of Production and Operating Workers,32.67,228.00,Production Occupations,18.95,18.00,-210.00,13.72
First-Line Supervisors of Sales Workers,67.55,50.00,Sales and Related Occupations,62.92,2.00,-48.00,4.63
First-Line Supervisors of Transportation and Material Moving Workers,24.04,294.00,Transportation and Material Moving Occupations,16.67,20.00,-274.00,7.37
Fish and Game Wardens,37.81,191.00,Protective Service Occupations,31.96,14.00,-177.00,5.85
Fishing and Hunting Workers,5.81,423.00,"Farming, Fishing, and Forestry Occupations",15.89,21.00,-402.00,-10.08
Flight Attendants,36.73,201.00,Transportation and Material Moving Occupations,16.67,20.00,-181.00,20.06
Food Preparation Workers,35.77,206.00,Food Preparation and Serving Related Occupations,34.48,12.00,-194.00,1.29
"Food Servers, Nonrestaurant",22.31,305.00,Food Preparation and Serving Related Occupations,34.48,12.00,-293.00,-12.18
Food Service Managers,32.93,226.00,Management Occupations,36.26,11.00,-215.00,-3.33
Forest and Conservation Technicians,22.14,307.00,"Life, Physical, and Social Science Occupations",43.18,9.00,-298.00,-21.04
Forest and Conservation Workers,11.78,390.00,"Farming, Fishing, and Forestry Occupations",15.89,21.00,-369.00,-4.11
"Forming Machine Setters, Operators, and Tenders, Metal and Plastic",20.38,323.00,Production Occupations,18.95,18.00,-305.00,1.43
Fundraisers,56.91,78.00,Business and Financial Operations Occupations,51.70,5.00,-73.00,5.22
Funeral Attendants,40.19,170.00,Personal Care and Service Occupations,32.09,13.00,-157.00,8.10
"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",25.77,280.00,Production Occupations,18.95,18.00,-262.00,6.82
Furniture Finishers,16.17,356.00,Production Occupations,18.95,18.00,-338.00,-2.79
Gambling Cage Workers,31.39,237.00,Office and Administrative Support Occupations,52.87,4.00,-233.00,-21.48
