title_current,employment,median_wage,major,job_zone,outlook,n_software,pct_tasks_affected,ska_gap,pct_delta,ska_delta,flag1_pct,flag2_ska,flag3_pct_trend,flag4_ska_trend,flag5_job_zone,flag6_outlook,flag7_n_software,risk_score,risk_tier
Automotive Body and Related Repairers,155220.00,51680.00,"Installation, Maintenance, and Repair Occupations",2.00,3.00,18,11.71,1.24,0.00,4.99,0,1,0,0,1,1,0,3,moderate
Audiovisual Equipment Installers and Repairers,22170.00,50620.00,"Installation, Maintenance, and Repair Occupations",3.00,3.00,5,32.45,0.71,11.12,5.43,0,1,0,0,1,1,0,3,moderate
Surveyors,38663.00,72740.00,Architecture and Engineering Occupations,4.00,4.00,49,58.70,-0.58,34.84,6.47,1,0,1,0,0,0,1,3,moderate
Subway and Streetcar Operators,9200.00,84830.00,Transportation and Material Moving Occupations,2.00,2.00,2,30.70,-0.26,18.29,5.59,0,0,1,0,1,1,0,3,moderate
Gambling Managers,4620.00,85580.00,Management Occupations,2.00,3.00,8,36.14,-0.38,14.26,6.62,0,0,0,1,1,1,0,3,moderate
Furniture Finishers,14230.00,42530.00,Production Occupations,2.00,2.00,5,16.17,1.35,0.00,4.91,0,1,0,0,1,1,0,3,moderate
Fundraising Managers,58664.44,131835.56,Management Occupations,4.00,4.00,61,42.87,-0.49,30.95,6.97,0,0,1,1,0,0,1,3,moderate
Foundry Mold and Coremakers,12720.00,45700.00,Production Occupations,2.00,2.00,7,1.73,1.33,1.73,5.03,0,1,0,0,1,1,0,3,moderate
Light Truck Drivers,994410.00,44140.00,Transportation and Material Moving Occupations,2.00,3.00,14,27.47,2.70,12.13,6.08,0,1,0,0,1,1,0,3,moderate
"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",143590.00,33720.00,Protective Service Occupations,2.00,2.00,6,31.20,1.99,15.97,6.28,0,1,0,0,1,1,0,3,moderate
Legislators,26510.00,44810.00,Management Occupations,4.00,3.00,32,50.04,,12.45,,1,0,0,0,0,1,1,3,moderate
"Layout Workers, Metal and Plastic",5610.00,61870.00,Production Occupations,2.00,2.00,9,19.32,1.66,2.20,5.69,0,1,0,0,1,1,0,3,moderate
Genetic Counselors,3510.00,98910.00,Healthcare Practitioners and Technical Occupations,5.00,0.00,25,53.84,-1.43,13.92,6.95,1,0,0,1,0,0,1,3,moderate
Gem and Diamond Workers,6190.00,49140.00,Production Occupations,3.00,2.00,7,29.86,1.83,0.00,6.07,0,1,0,0,1,1,0,3,moderate
Bioengineers and Biomedical Engineers,21860.00,106950.00,Architecture and Engineering Occupations,4.00,5.00,138,51.82,-2.90,11.72,6.59,1,0,0,1,0,0,1,3,moderate
Biochemists and Biophysicists,34520.00,103650.00,"Life, Physical, and Social Science Occupations",5.00,4.00,75,54.12,-4.48,15.05,6.63,1,0,0,1,0,0,1,3,moderate
Barbers,18100.00,38960.00,Personal Care and Service Occupations,3.00,2.00,11,19.47,2.92,9.53,6.22,0,1,0,0,1,1,0,3,moderate
Bailiffs,16910.00,57050.00,Protective Service Occupations,3.00,4.00,18,48.23,1.45,15.06,6.27,1,1,0,0,1,0,0,3,moderate
Structural Metal Fabricators and Fitters,53380.00,49900.00,Production Occupations,2.00,3.00,10,9.74,3.27,1.07,5.85,0,1,0,0,1,1,0,3,moderate
Stonemasons,8750.00,51990.00,Construction and Extraction Occupations,2.00,3.00,13,10.55,0.91,0.26,5.44,0,1,0,0,1,1,0,3,moderate
"Stone Cutters and Carvers, Manufacturing",14904.00,45690.00,Production Occupations,2.00,2.00,6,18.82,3.11,4.93,5.93,0,1,0,0,1,1,0,3,moderate
Stationary Engineers and Boiler Operators,30780.00,75190.00,Production Occupations,3.00,2.00,18,35.57,0.76,15.92,5.38,0,1,0,0,1,1,0,3,moderate
Sports Medicine Physicians,34183.00,249103.60,Healthcare Practitioners and Technical Occupations,5.00,2.00,33,30.46,-3.25,11.40,6.78,0,0,0,1,0,1,1,3,moderate
"Special Education Teachers, Secondary School",162780.00,69590.00,Educational Instruction and Library Occupations,4.00,4.00,21,53.42,-0.81,28.93,6.80,1,0,1,1,0,0,0,3,moderate
"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",19500.00,42730.00,Production Occupations,2.00,1.00,2,29.58,1.50,18.99,4.97,0,1,1,0,1,0,0,3,moderate
"Food Servers, Nonrestaurant",271780.00,34460.00,Food Preparation and Serving Related Occupations,2.00,2.00,8,32.27,4.29,13.26,6.40,0,1,0,0,1,1,0,3,moderate
Food Preparation Workers,888770.00,34220.00,Food Preparation and Serving Related Occupations,2.00,2.00,15,38.18,4.91,8.30,5.98,0,1,0,0,1,1,0,3,moderate
Food Cooking Machine Operators and Tenders,27660.00,40550.00,Production Occupations,2.00,1.00,1,35.76,1.08,16.86,5.34,0,1,1,0,1,0,0,3,moderate
Maids and Housekeeping Cleaners,854910.00,34660.00,Building and Grounds Cleaning and Maintenance Occupations,1.00,2.00,9,8.94,2.31,6.15,5.33,0,1,0,0,1,1,0,3,moderate
Magnetic Resonance Imaging Technologists,41530.00,88180.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,12,34.26,0.76,17.78,6.34,0,1,1,0,1,0,0,3,moderate
Machine Feeders and Offbearers,46690.00,39700.00,Transportation and Material Moving Occupations,2.00,2.00,5,14.15,0.41,9.81,4.80,0,1,0,0,1,1,0,3,moderate
"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",96385.00,98340.00,Healthcare Practitioners and Technical Occupations,5.00,4.00,27,45.80,-0.07,13.40,6.76,1,0,0,1,0,0,1,3,moderate
Loss Prevention Managers,164169.00,136550.00,Management Occupations,4.00,4.00,24,35.18,-1.13,23.17,6.72,0,0,1,1,0,0,1,3,moderate
Locksmiths and Safe Repairers,15550.00,50490.00,"Installation, Maintenance, and Repair Occupations",2.00,3.00,13,10.50,1.34,7.39,5.69,0,1,0,0,1,1,0,3,moderate
"Locker Room, Coatroom, and Dressing Room Attendants",14960.00,34800.00,Personal Care and Service Occupations,2.00,1.00,9,35.20,4.30,6.09,7.31,0,1,0,1,1,0,0,3,moderate
Media Programming Directors,38771.00,83480.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,26,34.67,-1.13,12.94,6.74,0,0,0,1,0,1,1,3,moderate
Mechatronics Engineers,13659.00,117750.00,Architecture and Engineering Occupations,4.00,5.00,53,61.27,-2.13,38.23,5.99,1,0,1,0,0,0,1,3,moderate
Mechanical Engineers,99415.00,102320.00,Architecture and Engineering Occupations,4.00,5.00,93,55.70,-2.18,19.08,6.20,1,0,1,0,0,0,1,3,moderate
"Meat, Poultry, and Fish Cutters and Trimmers",141090.00,37700.00,Production Occupations,1.00,1.00,4,45.01,2.04,0.00,5.78,1,1,0,0,1,0,0,3,moderate
Materials Scientists,8330.00,104160.00,"Life, Physical, and Social Science Occupations",4.00,4.00,37,55.91,-2.37,30.33,6.37,1,0,1,0,0,0,1,3,moderate
Manufacturing Engineers,87557.50,101140.00,Architecture and Engineering Occupations,4.00,4.00,36,63.02,-3.00,23.05,6.19,1,0,1,0,0,0,1,3,moderate
"Maintenance and Repair Workers, General",1531700.00,48620.00,"Installation, Maintenance, and Repair Occupations",3.00,3.00,36,25.12,-0.38,4.68,5.00,0,0,0,0,1,1,1,3,moderate
"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",8760.00,49240.00,Production Occupations,2.00,2.00,3,22.30,1.03,2.24,5.41,0,1,0,0,1,1,0,3,moderate
"Special Education Teachers, Preschool",28200.00,62190.00,Educational Instruction and Library Occupations,5.00,3.00,13,38.54,0.56,15.28,6.86,0,1,0,1,0,1,0,3,moderate
Brownfield Redevelopment Specialists and Site Managers,22567.00,136550.00,Management Occupations,4.00,4.00,31,35.42,-1.06,19.49,6.58,0,0,1,1,0,0,1,3,moderate
Broadcast Announcers and Radio Disc Jockeys,23880.00,45680.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,3.00,18,55.70,-0.79,12.88,6.75,1,0,0,1,0,1,0,3,moderate
Boilermakers,10170.00,73340.00,Construction and Extraction Occupations,2.00,3.00,9,16.31,0.34,6.05,5.37,0,1,0,0,1,1,0,3,moderate
Social and Human Service Assistants,424220.00,45120.00,Community and Social Service Occupations,4.00,2.00,13,42.55,0.19,6.04,6.98,0,1,0,1,0,1,0,3,moderate
Cardiovascular Technologists and Technicians,61180.00,67260.00,Healthcare Practitioners and Technical Occupations,3.00,5.00,19,33.00,0.79,16.63,6.63,0,1,0,1,1,0,0,3,moderate
Camera and Photographic Equipment Repairers,2010.00,49300.00,"Installation, Maintenance, and Repair Occupations",3.00,2.00,6,34.18,0.54,8.23,5.69,0,1,0,0,1,1,0,3,moderate
"Bus Drivers, School",292209.77,40769.77,Transportation and Material Moving Occupations,2.00,3.00,3,25.01,1.05,10.37,5.57,0,1,0,0,1,1,0,3,moderate
Social and Community Service Managers,195490.00,78240.00,Management Occupations,4.00,4.00,22,45.39,-1.79,20.51,6.83,1,0,1,1,0,0,0,3,moderate
"Social Work Teachers, Postsecondary",13350.00,76210.00,Educational Instruction and Library Occupations,5.00,4.00,20,80.86,-3.22,49.27,7.01,1,0,1,1,0,0,0,3,moderate
Shuttle Drivers and Chauffeurs,292209.77,40769.77,Transportation and Material Moving Occupations,2.00,2.00,18,27.69,0.49,11.55,5.72,0,1,0,0,1,1,0,3,moderate
"Floor Layers, Except Carpet, Wood, and Hard Tiles",24850.00,54340.00,Construction and Extraction Occupations,2.00,3.00,13,9.90,1.98,0.00,5.89,0,1,0,0,1,1,0,3,moderate
Flight Attendants,130110.00,67130.00,Transportation and Material Moving Occupations,2.00,3.00,12,38.93,0.50,5.63,6.28,0,1,0,0,1,1,0,3,moderate
First-Line Supervisors of Police and Detectives,153130.00,105980.00,Protective Service Occupations,2.00,5.00,24,42.62,-1.83,30.11,6.46,0,0,1,0,1,0,1,3,moderate
Medical Equipment Repairers,60830.00,62630.00,"Installation, Maintenance, and Repair Occupations",3.00,4.00,13,45.06,0.22,15.63,5.62,1,1,0,0,1,0,0,3,moderate
Medical Equipment Preparers,72760.00,46490.00,Healthcare Support Occupations,2.00,2.00,19,9.56,0.91,8.59,5.75,0,1,0,0,1,1,0,3,moderate
Medical Dosimetrists,3970.00,138110.00,Healthcare Practitioners and Technical Occupations,4.00,5.00,4,49.52,-0.42,17.11,6.74,1,0,1,1,0,0,0,3,moderate
Medical Appliance Technicians,11490.00,47060.00,Production Occupations,3.00,2.00,12,8.97,0.64,0.00,5.81,0,1,0,0,1,1,0,3,moderate
Media Technical Directors/Managers,24398.00,83480.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,2.00,38,40.64,-1.10,16.72,6.33,0,0,1,0,0,1,1,3,moderate
Sewing Machine Operators,109590.00,36000.00,Production Occupations,1.00,2.00,6,21.20,0.95,10.01,4.81,0,1,0,0,1,1,0,3,moderate
Chemists,83250.00,84150.00,"Life, Physical, and Social Science Occupations",4.00,4.00,74,66.33,-1.49,32.55,6.33,1,0,1,0,0,0,1,3,moderate
Chemical Engineers,20330.00,121860.00,Architecture and Engineering Occupations,4.00,5.00,59,57.92,-3.65,18.63,6.06,1,0,1,0,0,0,1,3,moderate
Carpet Installers,14980.00,49850.00,Construction and Extraction Occupations,2.00,2.00,15,15.76,1.12,0.00,5.27,0,1,0,0,1,1,0,3,moderate
"Service Unit Operators, Oil and Gas",44120.00,57980.00,Construction and Extraction Occupations,2.00,3.00,11,13.51,0.43,7.44,5.48,0,1,0,0,1,1,0,3,moderate
Segmental Pavers,16765.00,48120.00,Construction and Extraction Occupations,2.00,3.00,11,5.39,0.24,0.00,4.80,0,1,0,0,1,1,0,3,moderate
Security and Fire Alarm Systems Installers,81510.00,59300.00,"Installation, Maintenance, and Repair Occupations",3.00,3.00,12,37.72,1.10,9.13,5.63,0,1,0,0,1,1,0,3,moderate
Security Management Specialists,483001.00,81270.00,Business and Financial Operations Occupations,4.00,4.00,54,59.51,-1.31,30.41,6.44,1,0,1,0,0,0,1,3,moderate
"Model Makers, Wood",360.00,51850.00,Production Occupations,3.00,2.00,6,32.28,0.83,11.42,5.56,0,1,0,0,1,1,0,3,moderate
"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",13810.00,48310.00,Production Occupations,2.00,2.00,16,30.95,0.56,11.18,5.49,0,1,0,0,1,1,0,3,moderate
Microsystems Engineers,23080.00,117750.00,Architecture and Engineering Occupations,5.00,5.00,90,53.12,-2.81,26.02,6.08,1,0,1,0,0,0,1,3,moderate
Medical and Clinical Laboratory Technologists,42880.00,61890.00,Healthcare Practitioners and Technical Occupations,4.00,4.00,26,56.09,-1.43,21.16,6.19,1,0,1,0,0,0,1,3,moderate
"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",124130.00,56170.00,Building and Grounds Cleaning and Maintenance Occupations,3.00,4.00,9,42.80,0.65,26.70,5.93,0,1,1,0,1,0,0,3,moderate
Climate Change Policy Analysts,21539.00,80060.00,"Life, Physical, and Social Science Occupations",5.00,4.00,25,46.66,-0.31,3.05,6.70,1,0,0,1,0,0,1,3,moderate
Clergy,58080.00,60820.00,Community and Social Service Occupations,5.00,1.00,12,73.75,-2.30,31.42,6.88,1,0,1,1,0,0,0,3,moderate
"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",13890.00,41460.00,Production Occupations,2.00,3.00,2,27.28,-0.10,18.57,4.43,0,0,1,0,1,1,0,3,moderate
Cleaners of Vehicles and Equipment,373960.00,35270.00,Transportation and Material Moving Occupations,2.00,2.00,6,8.56,1.59,3.65,4.49,0,1,0,0,1,1,0,3,moderate
"Claims Adjusters, Examiners, and Investigators",305020.00,76790.00,Business and Financial Operations Occupations,4.00,4.00,73,43.66,-0.39,9.91,6.71,1,0,0,1,0,0,1,3,moderate
Choreographers,3430.00,55600.00,"Arts, Design, Entertainment, Sports, and Media Occupations",3.00,2.00,14,52.52,-0.16,15.11,6.36,1,0,0,0,1,1,0,3,moderate
Chiropractors,37630.00,79000.00,Healthcare Practitioners and Technical Occupations,5.00,4.00,34,38.87,-0.75,24.12,6.72,0,0,1,1,0,0,1,3,moderate
"Child, Family, and School Social Workers",382960.00,58570.00,Community and Social Service Occupations,4.00,3.00,10,47.14,-1.45,8.33,7.00,1,0,0,1,0,1,0,3,moderate
"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",1189330.00,66260.00,Sales and Related Occupations,2.00,4.00,14,72.98,,34.67,,1,0,1,0,1,0,0,3,moderate
"Roustabouts, Oil and Gas",45330.00,47510.00,Construction and Extraction Occupations,1.00,2.00,20,3.54,0.22,1.09,4.60,0,1,0,0,1,1,0,3,moderate
"Rotary Drill Operators, Oil and Gas",13090.00,65010.00,Construction and Extraction Occupations,2.00,3.00,12,17.98,0.61,8.65,5.97,0,1,0,0,1,1,0,3,moderate
Network and Computer Systems Administrators,318570.00,96800.00,Computer and Mathematical Occupations,4.00,5.00,266,85.55,-0.45,42.69,6.38,1,0,1,0,0,0,1,3,moderate
Naturopathic Physicians,20983.00,113730.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,14,49.89,-2.59,31.76,6.88,1,0,1,1,0,0,0,3,moderate
Nanosystems Engineers,21672.00,117750.00,Architecture and Engineering Occupations,5.00,5.00,51,48.19,-3.07,17.77,6.30,1,0,1,0,0,0,1,3,moderate
Musicians and Singers,38350.00,88296.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,0.00,23,28.94,1.19,14.81,7.13,0,1,0,1,0,0,1,3,moderate
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",129850.00,46060.00,Production Occupations,2.00,2.00,11,33.39,0.39,8.51,5.14,0,1,0,0,1,1,0,3,moderate
Motorcycle Mechanics,14010.00,47200.00,"Installation, Maintenance, and Repair Occupations",3.00,3.00,11,22.62,0.32,0.36,5.73,0,1,0,0,1,1,0,3,moderate
"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",154820.00,41230.00,Production Occupations,2.00,3.00,10,23.34,0.99,8.76,5.07,0,1,0,0,1,1,0,3,moderate
Roofers,136740.00,50970.00,Construction and Extraction Occupations,2.00,4.00,23,5.61,0.83,2.84,5.28,0,1,0,0,1,0,1,3,moderate
Robotics Engineers,24369.00,117750.00,Architecture and Engineering Occupations,4.00,5.00,68,64.19,-3.98,25.43,5.94,1,0,1,0,0,0,1,3,moderate
Riggers,24190.00,62060.00,"Installation, Maintenance, and Repair Occupations",2.00,2.00,5,32.31,1.02,2.49,5.39,0,1,0,0,1,1,0,3,moderate
Recycling and Reclamation Workers,2982530.00,38940.00,Transportation and Material Moving Occupations,2.00,2.00,4,13.56,0.30,13.56,5.11,0,1,0,0,1,1,0,3,moderate
Compliance Officers,18302.00,78420.00,Business and Financial Operations Occupations,4.00,4.00,17,46.50,0.70,15.15,6.67,1,1,0,1,0,0,0,3,moderate
Commercial and Industrial Designers,30250.00,79450.00,"Arts, Design, Entertainment, Sports, and Media Occupations",4.00,4.00,62,62.74,-1.26,23.49,6.32,1,0,1,0,0,0,1,3,moderate
Commercial Pilots,51830.00,122670.00,Transportation and Material Moving Occupations,3.00,3.00,33,39.43,-1.76,16.03,5.68,0,0,0,0,1,1,1,3,moderate
Financial Risk Specialists,188297.86,103841.07,Business and Financial Operations Occupations,4.00,5.00,189,64.82,,31.17,,1,0,1,0,0,0,1,3,moderate
Financial Examiners,62830.00,90400.00,Business and Financial Operations Occupations,4.00,4.00,30,34.02,-1.25,20.59,6.70,0,0,1,1,0,0,1,3,moderate
Fiberglass Laminators and Fabricators,18520.00,45760.00,Production Occupations,2.00,2.00,5,10.34,1.95,0.00,6.09,0,1,0,0,1,1,0,3,moderate
Fence Erectors,22640.00,46940.00,Construction and Extraction Occupations,2.00,3.00,6,8.90,1.58,0.00,5.55,0,1,0,0,1,1,0,3,moderate
Fast Food and Counter Workers,1804350.00,30480.00,Food Preparation and Serving Related Occupations,1.00,2.00,17,35.37,4.51,6.01,6.38,0,1,0,0,1,1,0,3,moderate
"Farmworkers, Farm, Ranch, and Aquacultural Animals",35420.00,36150.00,"Farming, Fishing, and Forestry Occupations",2.00,2.00,9,28.73,2.04,4.56,5.49,0,1,0,0,1,1,0,3,moderate
Farm and Home Management Educators,10260.00,58120.00,Educational Instruction and Library Occupations,5.00,2.00,17,50.40,-1.46,13.83,6.65,1,0,0,1,0,1,0,3,moderate
Farm Labor Contractors,410.00,48690.00,Business and Financial Operations Occupations,2.00,4.00,13,28.08,2.26,8.28,6.65,0,1,0,1,1,0,0,3,moderate
"Coil Winders, Tapers, and Finishers",12170.00,47260.00,Production Occupations,2.00,2.00,3,28.10,0.94,11.91,5.70,0,1,0,0,1,1,0,3,moderate
Construction Managers,348330.00,106980.00,Management Occupations,4.00,5.00,64,55.65,-2.18,38.49,6.28,1,0,1,0,0,0,1,3,moderate
Recreational Vehicle Service Technicians,18710.00,50540.00,"Installation, Maintenance, and Repair Occupations",2.00,2.00,9,29.04,0.45,1.94,5.52,0,1,0,0,1,1,0,3,moderate
Railroad Conductors and Yardmasters,42710.00,74080.00,Transportation and Material Moving Occupations,2.00,2.00,14,26.48,0.87,10.47,6.09,0,1,0,0,1,1,0,3,moderate
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",12460.00,65480.00,Transportation and Material Moving Occupations,2.00,2.00,8,10.36,0.27,4.84,5.23,0,1,0,0,1,1,0,3,moderate
"Rail Yard Engineers, Dinkey Operators, and Hostlers",3300.00,58030.00,Transportation and Material Moving Occupations,2.00,2.00,8,22.96,0.14,7.02,5.30,0,1,0,0,1,1,0,3,moderate
Radiologic Technologists and Technicians,223460.00,77660.00,Healthcare Practitioners and Technical Occupations,3.00,5.00,24,33.30,1.08,13.08,6.37,0,1,0,0,1,0,1,3,moderate
"Radio, Cellular, and Tower Equipment Installers and Repairers",11400.00,64190.00,"Installation, Maintenance, and Repair Occupations",3.00,2.00,15,37.99,0.90,10.57,5.70,0,1,0,0,1,1,0,3,moderate
Coroners,27241.00,78420.00,Business and Financial Operations Occupations,3.00,4.00,31,34.35,-1.09,7.93,6.56,0,0,0,1,1,0,1,3,moderate
Cooling and Freezing Equipment Operators and Tenders,6590.00,40160.00,Production Occupations,2.00,2.00,5,35.58,1.42,11.40,5.34,0,1,0,0,1,1,0,3,moderate
"Office Machine Operators, Except Computer",24740.00,39020.00,Office and Administrative Support Occupations,2.00,1.00,14,53.09,3.42,12.92,6.43,1,1,0,0,1,0,0,3,moderate
Fabric and Apparel Patternmakers,2860.00,67670.00,Production Occupations,3.00,2.00,11,34.20,1.06,10.58,6.36,0,1,0,0,1,1,0,3,moderate
"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",57310.00,45130.00,Production Occupations,2.00,2.00,8,31.94,0.61,13.36,4.98,0,1,0,0,1,1,0,3,moderate
"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",65700.00,46980.00,Production Occupations,2.00,2.00,8,26.39,0.60,5.65,5.21,0,1,0,0,1,1,0,3,moderate
Exercise Trainers and Group Fitness Instructors,303620.00,46180.00,Personal Care and Service Occupations,3.00,3.00,22,38.55,0.75,4.23,6.46,0,1,0,0,1,1,0,3,moderate
Occupational Therapists,55895.00,98340.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,36,42.94,-2.10,31.02,6.87,0,0,1,1,0,0,1,3,moderate
Occupational Health and Safety Specialists,128430.00,83910.00,"Life, Physical, and Social Science Occupations",4.00,4.00,24,51.29,-0.46,26.41,6.19,1,0,1,0,0,0,1,3,moderate
Nurse Practitioners,307390.00,129210.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,30,49.95,-1.99,29.55,6.40,1,0,1,0,0,0,1,3,moderate
"Cooks, Private Household",900.00,44530.00,Food Preparation and Serving Related Occupations,3.00,2.00,10,41.72,2.01,4.11,6.03,0,1,0,0,1,1,0,3,moderate
"Cooks, Institution and Cafeteria",448260.00,36450.00,Food Preparation and Serving Related Occupations,2.00,2.00,9,28.22,2.13,13.26,5.68,0,1,0,0,1,1,0,3,moderate
"Control and Valve Installers and Repairers, Except Mechanical Door",46920.00,74690.00,"Installation, Maintenance, and Repair Occupations",3.00,4.00,24,29.17,0.79,5.50,5.36,0,1,0,0,1,0,1,3,moderate
Crossing Guards and Flaggers,90180.00,37700.00,Protective Service Occupations,2.00,2.00,3,28.91,4.20,3.45,6.47,0,1,0,0,1,1,0,3,moderate
Public Relations Managers,58664.44,131835.56,Management Occupations,4.00,5.00,66,48.52,,22.09,,1,0,1,0,0,0,1,3,moderate
"Dentists, General",113490.00,172790.00,Healthcare Practitioners and Technical Occupations,5.00,5.00,42,33.43,-1.93,24.70,6.64,0,0,1,1,0,0,1,3,moderate
Database Architects,49461.98,122852.56,Computer and Mathematical Occupations,4.00,5.00,324,78.71,-0.66,39.79,6.47,1,0,1,0,0,0,1,3,moderate
Data Scientists,6898.00,112590.00,Computer and Mathematical Occupations,4.00,5.00,87,76.82,,30.78,,1,0,1,0,0,0,1,3,moderate
Engine and Other Machine Assemblers,38420.00,52540.00,Production Occupations,2.00,3.00,8,18.72,0.26,3.48,5.29,0,1,0,0,1,1,0,3,moderate
Endoscopy Technicians,27713.00,46050.00,Healthcare Support Occupations,2.00,2.00,8,2.95,1.79,1.49,6.43,0,1,0,0,1,1,0,3,moderate
Orderlies,53020.00,37700.00,Healthcare Support Occupations,2.00,2.00,7,6.42,1.61,1.47,5.10,0,1,0,0,1,1,0,3,moderate
"Opticians, Dispensing",79690.00,46560.00,Healthcare Practitioners and Technical Occupations,3.00,2.00,18,22.98,0.97,2.77,6.52,0,1,0,0,1,1,0,3,moderate
Ophthalmic Medical Technologists,3967.00,48790.00,Healthcare Practitioners and Technical Occupations,3.00,4.00,19,14.15,1.24,6.98,6.91,0,1,0,1,1,0,0,3,moderate
Ophthalmic Medical Technicians,76520.00,44080.00,Healthcare Practitioners and Technical Occupations,3.00,1.00,14,3.35,1.62,2.14,6.73,0,1,0,1,1,0,0,3,moderate
Ophthalmic Laboratory Technicians,18740.00,38420.00,Production Occupations,2.00,2.00,8,13.97,0.97,1.39,5.18,0,1,0,0,1,1,0,3,moderate
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",174430.00,45590.00,Production Occupations,2.00,3.00,10,26.97,1.43,11.20,4.73,0,1,0,0,1,1,0,3,moderate
"Cutting and Slicing Machine Setters, Operators, and Tenders",47540.00,45700.00,Production Occupations,2.00,2.00,4,33.88,-0.03,19.52,4.61,0,0,1,0,1,1,0,3,moderate
"Cutters and Trimmers, Hand",7070.00,38800.00,Production Occupations,1.00,2.00,3,19.59,1.05,8.66,4.73,0,1,0,0,1,1,0,3,moderate
Dishwashers,471670.00,33670.00,Food Preparation and Serving Related Occupations,1.00,2.00,2,5.27,3.67,0.00,6.03,0,1,0,0,1,1,0,3,moderate
"Disc Jockeys, Except Radio",8170.00,42827.20,"Arts, Design, Entertainment, Sports, and Media Occupations",2.00,2.00,6,42.15,,17.08,,0,0,1,0,1,1,0,3,moderate
"Directors, Religious Activities and Education",21460.00,54840.00,Community and Social Service Occupations,4.00,1.00,19,62.70,0.01,32.10,6.96,1,0,1,1,0,0,0,3,moderate
Dining Room and Cafeteria Attendants and Bartender Helpers,522010.00,32670.00,Food Preparation and Serving Related Occupations,1.00,2.00,6,16.11,3.31,2.78,5.75,0,1,0,0,1,1,0,3,moderate
Digital Forensics Analysts,17531.00,108970.00,Computer and Mathematical Occupations,4.00,5.00,65,64.98,,19.64,,1,0,1,0,0,0,1,3,moderate
Dietitians and Nutritionists,76570.00,73850.00,Healthcare Practitioners and Technical Occupations,5.00,4.00,34,53.92,-1.41,13.60,6.72,1,0,0,1,0,0,1,3,moderate
Detectives and Criminal Investigators,18772.00,93580.00,Protective Service Occupations,3.00,4.00,38,44.48,-1.43,13.28,6.51,1,0,0,0,1,0,1,3,moderate
Project Management Specialists,560732.43,89920.54,Business and Financial Operations Occupations,4.00,5.00,91,55.58,,31.53,,1,0,1,0,0,0,1,3,moderate
"Pediatricians, General",42960.00,210130.00,Healthcare Practitioners and Technical Occupations,5.00,4.00,20,52.93,-2.45,40.68,6.85,1,0,1,1,0,0,0,3,moderate
"Patternmakers, Wood",180.00,52520.00,Production Occupations,3.00,2.00,8,36.86,0.31,9.77,5.27,0,1,0,0,1,1,0,3,moderate
"Patternmakers, Metal and Plastic",1570.00,54540.00,Production Occupations,3.00,3.00,6,43.01,1.36,16.02,5.51,0,1,0,0,1,1,0,3,moderate
Paperhangers,1520.00,48260.00,Construction and Extraction Occupations,2.00,3.00,10,22.39,1.17,1.27,5.09,0,1,0,0,1,1,0,3,moderate
"Painters, Construction and Maintenance",224180.00,48660.00,Construction and Extraction Occupations,2.00,3.00,14,19.74,3.28,10.41,5.46,0,1,0,0,1,1,0,3,moderate
"Packers and Packagers, Hand",601440.00,35580.00,Transportation and Material Moving Occupations,2.00,2.00,7,29.00,2.34,12.67,5.55,0,1,0,0,1,1,0,3,moderate
Outdoor Power Equipment and Other Small Engine Mechanics,34240.00,46560.00,"Installation, Maintenance, and Repair Occupations",2.00,1.00,9,32.57,0.36,17.40,5.32,0,1,1,0,1,0,0,3,moderate
"Environmental Science and Protection Technicians, Including Health",39390.00,49490.00,"Life, Physical, and Social Science Occupations",4.00,3.00,33,37.23,0.86,15.35,6.28,0,1,0,0,0,1,1,3,moderate
Printing Press Operators,145110.00,45160.00,Production Occupations,2.00,2.00,29,35.78,-1.08,14.19,4.73,0,0,0,0,1,1,1,3,moderate
Print Binding and Finishing Workers,36470.00,39820.00,Production Occupations,2.00,2.00,11,20.41,2.06,13.15,5.57,0,1,0,0,1,1,0,3,moderate
