title_current,pct_first,pct_last,tier_first,tier_last,tier_changed,major_occ_category
Endoscopy Technicians,1.46,1.46,low,low,False,Healthcare Support Occupations
Energy Auditors,18.46,29.04,low,restructuring,True,Construction and Extraction Occupations
"Energy Engineers, Except Wind and Solar",34.01,34.01,restructuring,restructuring,False,Architecture and Engineering Occupations
Engine and Other Machine Assemblers,15.25,18.72,low,low,False,Production Occupations
"Engineering Teachers, Postsecondary",32.46,82.86,restructuring,high,True,Educational Instruction and Library Occupations
"English Language and Literature Teachers, Postsecondary",34.57,71.86,restructuring,high,True,Educational Instruction and Library Occupations
"Entertainment and Recreation Managers, Except Gambling",39.76,39.76,restructuring,restructuring,False,Management Occupations
Environmental Compliance Inspectors,32.31,33.29,restructuring,restructuring,False,Business and Financial Operations Occupations
Environmental Economists,32.57,46.14,restructuring,moderate,True,"Life, Physical, and Social Science Occupations"
Environmental Engineering Technologists and Technicians,31.26,31.26,restructuring,restructuring,False,Architecture and Engineering Occupations
Environmental Engineers,24.74,37.92,restructuring,restructuring,False,Architecture and Engineering Occupations
Environmental Restoration Planners,28.08,28.49,restructuring,restructuring,False,"Life, Physical, and Social Science Occupations"
"Environmental Science Teachers, Postsecondary",26.80,72.77,restructuring,high,True,Educational Instruction and Library Occupations
"Environmental Science and Protection Technicians, Including Health",21.88,29.56,restructuring,restructuring,False,"Life, Physical, and Social Science Occupations"
"Environmental Scientists and Specialists, Including Health",27.57,49.68,restructuring,moderate,True,"Life, Physical, and Social Science Occupations"
Epidemiologists,24.67,31.54,restructuring,restructuring,False,"Life, Physical, and Social Science Occupations"
Equal Opportunity Representatives and Officers,26.00,31.77,restructuring,restructuring,False,Business and Financial Operations Occupations
Etchers and Engravers,16.91,17.43,low,low,False,Production Occupations
"Excavating and Loading Machine and Dragline Operators, Surface Mining",11.21,11.21,low,low,False,Construction and Extraction Occupations
Executive Secretaries and Executive Administrative Assistants,40.85,64.84,moderate,high,True,Office and Administrative Support Occupations
