title_current,pct_first,pct_last,tier_first,tier_last,tier_changed,major_occ_category
"Architects, Except Landscape and Naval",29.93,63.87,restructuring,high,True,Architecture and Engineering Occupations
"Middle School Teachers, Except Special and Career/Technical Education",25.03,63.59,restructuring,high,True,Educational Instruction and Library Occupations
Editors,42.04,63.22,moderate,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
"Elementary School Teachers, Except Special Education",26.07,63.21,restructuring,high,True,Educational Instruction and Library Occupations
Judicial Law Clerks,20.23,62.97,restructuring,high,True,Legal Occupations
Order Clerks,37.35,62.94,restructuring,high,True,Office and Administrative Support Occupations
Tax Preparers,46.11,62.90,moderate,high,True,Business and Financial Operations Occupations
Art Directors,38.48,62.54,restructuring,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Computer Systems Engineers/Architects,39.28,61.79,restructuring,high,True,Computer and Mathematical Occupations
"Property, Real Estate, and Community Association Managers",17.98,61.50,low,high,True,Management Occupations
"Meeting, Convention, and Event Planners",21.11,60.62,restructuring,high,True,Business and Financial Operations Occupations
Private Detectives and Investigators,38.15,60.57,restructuring,high,True,Protective Service Occupations
Photographers,41.86,60.56,moderate,high,True,"Arts, Design, Entertainment, Sports, and Media Occupations"
Survey Researchers,21.39,60.41,restructuring,high,True,"Life, Physical, and Social Science Occupations"
