category,config_key,config_label,pct_tasks_affected,workers_affected,wages_affected
"Teaching Assistants, Special Education",agentic_confirmed,Agentic Confirmed,6.67,25523.35,907355255.50
File Clerks,agentic_confirmed,Agentic Confirmed,32.24,25465.27,1050951703.15
Credit Analysts,agentic_confirmed,Agentic Confirmed,37.19,25057.05,2028869364.95
Demonstrators and Product Promoters,agentic_confirmed,Agentic Confirmed,38.49,24928.93,946302238.68
"Biological Science Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,46.38,24697.27,2061233826.74
Marriage and Family Therapists,agentic_confirmed,Agentic Confirmed,37.29,24559.91,1566431299.41
Reservation and Transportation Ticket Agents and Travel Clerks,agentic_confirmed,Agentic Confirmed,18.79,23944.12,992723281.27
Dietitians and Nutritionists,agentic_confirmed,Agentic Confirmed,31.08,23800.13,1757639848.81
Computer Numerically Controlled Tool Operators,agentic_confirmed,Agentic Confirmed,13.38,23668.25,1182702311.22
"Computer, Automated Teller, and Office Machine Repairers",agentic_confirmed,Agentic Confirmed,31.73,23169.72,1085733068.22
Data Warehousing Specialists,agentic_confirmed,Agentic Confirmed,71.54,23168.16,3150406233.43
Web Developers,agentic_confirmed,Agentic Confirmed,34.07,22856.07,2161513774.23
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",agentic_confirmed,Agentic Confirmed,5.70,22603.55,1351918404.54
Actors,agentic_confirmed,Agentic Confirmed,57.76,22409.68,1747955372.57
Information Technology Project Managers,agentic_confirmed,Agentic Confirmed,48.35,22325.42,2432801340.90
"Engineering Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,55.80,22268.64,2363147697.57
Health Education Specialists,agentic_confirmed,Agentic Confirmed,34.06,22187.42,1397807773.81
Animal Caretakers,agentic_confirmed,Agentic Confirmed,7.98,22124.58,740509581.37
Interpreters and Translators,agentic_confirmed,Agentic Confirmed,41.43,22106.65,1314019474.92
"Psychology Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,53.07,22082.35,1773874963.63
Police and Sheriff's Patrol Officers,agentic_confirmed,Agentic Confirmed,15.94,22011.93,1679289870.64
Electrical Engineers,agentic_confirmed,Agentic Confirmed,11.44,21589.94,2416130405.87
Medical Transcriptionists,agentic_confirmed,Agentic Confirmed,49.88,21484.21,806731995.21
Medical Records Specialists,agentic_confirmed,Agentic Confirmed,18.61,21413.25,1253135781.52
Machinists,agentic_confirmed,Agentic Confirmed,7.16,21379.14,1200438550.96
Family Medicine Physicians,agentic_confirmed,Agentic Confirmed,19.70,21261.72,5068368678.47
Sustainability Specialists,agentic_confirmed,Agentic Confirmed,18.79,20955.43,1703047478.66
Tax Preparers,agentic_confirmed,Agentic Confirmed,28.11,20681.29,1045645819.12
Civil Engineering Technologists and Technicians,agentic_confirmed,Agentic Confirmed,33.09,20558.04,1319826475.61
Procurement Clerks,agentic_confirmed,Agentic Confirmed,34.27,20526.89,995759388.03
Industrial Machinery Mechanics,agentic_confirmed,Agentic Confirmed,4.83,20367.79,1298650298.39
Database Administrators,agentic_confirmed,Agentic Confirmed,40.56,20063.98,2464911354.71
Dental Hygienists,agentic_confirmed,Agentic Confirmed,9.13,20005.14,1885684412.93
Cement Masons and Concrete Finishers,agentic_confirmed,Agentic Confirmed,9.55,19598.68,1071264101.71
Government Property Inspectors and Investigators,agentic_confirmed,Agentic Confirmed,28.20,19396.78,1521095349.63
"News Analysts, Reporters, and Journalists",agentic_confirmed,Agentic Confirmed,46.43,19290.62,1162838364.51
Library Technicians,agentic_confirmed,Agentic Confirmed,26.06,19226.87,768498083.71
Mechanical Engineers,agentic_confirmed,Agentic Confirmed,19.23,19113.97,1955741060.80
Manufacturing Engineers,agentic_confirmed,Agentic Confirmed,21.77,19057.24,1927449427.77
General Internal Medicine Physicians,agentic_confirmed,Agentic Confirmed,28.46,18968.45,4483192401.04
Concierges,agentic_confirmed,Agentic Confirmed,42.90,18962.90,707695244.19
"Computer Science Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,51.46,18650.81,1803346698.31
Labor Relations Specialists,agentic_confirmed,Agentic Confirmed,28.85,18632.06,1742097479.69
"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",agentic_confirmed,Agentic Confirmed,51.00,18492.73,1108639367.74
Customs Brokers,agentic_confirmed,Agentic Confirmed,21.48,18421.20,1444590180.69
"Title Examiners, Abstractors, and Searchers",agentic_confirmed,Agentic Confirmed,38.04,18325.45,1007533039.58
Web and Digital Interface Designers,agentic_confirmed,Agentic Confirmed,26.92,18057.19,1707680829.09
Freight Forwarders,agentic_confirmed,Agentic Confirmed,26.68,18004.14,898406339.71
"Education and Childcare Administrators, Preschool and Daycare",agentic_confirmed,Agentic Confirmed,25.03,17924.70,1008622880.93
"Food Servers, Nonrestaurant",agentic_confirmed,Agentic Confirmed,6.53,17747.23,611569647.34
Pest Control Workers,agentic_confirmed,Agentic Confirmed,18.43,17715.79,792427143.51
Sheet Metal Workers,agentic_confirmed,Agentic Confirmed,14.63,17185.88,1045760552.75
"Telecommunications Equipment Installers and Repairers, Except Line Installers",agentic_confirmed,Agentic Confirmed,11.10,17085.37,1070056465.49
"Kindergarten Teachers, Except Special Education",agentic_confirmed,Agentic Confirmed,14.92,17074.35,1048877204.76
Couriers and Messengers,agentic_confirmed,Agentic Confirmed,23.59,16963.40,650376709.54
Photographers,agentic_confirmed,Agentic Confirmed,32.66,16730.99,711401588.45
Computer and Information Research Scientists,agentic_confirmed,Agentic Confirmed,43.47,16727.97,2357138817.78
Word Processors and Typists,agentic_confirmed,Agentic Confirmed,45.94,16551.59,791993414.36
Bioinformatics Scientists,agentic_confirmed,Agentic Confirmed,60.31,16344.03,1525388351.49
Automotive Engineers,agentic_confirmed,Agentic Confirmed,11.56,16313.03,1669149549.37
Biological Technicians,agentic_confirmed,Agentic Confirmed,21.33,16252.65,845138031.92
Regulatory Affairs Specialists,agentic_confirmed,Agentic Confirmed,16.05,16215.49,1271618678.55
"Communications Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,54.81,16038.72,1247812115.18
Film and Video Editors,agentic_confirmed,Agentic Confirmed,55.41,15990.95,1135037816.95
Art Directors,agentic_confirmed,Agentic Confirmed,31.33,15781.84,1752415528.66
Fundraisers,agentic_confirmed,Agentic Confirmed,14.57,15437.41,1026433063.31
"Teaching Assistants, Postsecondary",agentic_confirmed,Agentic Confirmed,9.73,15088.47,677925061.96
"Electronics Engineers, Except Computer",agentic_confirmed,Agentic Confirmed,22.35,14753.83,1882440942.23
Residential Advisors,agentic_confirmed,Agentic Confirmed,17.78,14720.59,576752659.63
Medical and Clinical Laboratory Technologists,agentic_confirmed,Agentic Confirmed,34.28,14699.62,909759772.47
Chemical Technicians,agentic_confirmed,Agentic Confirmed,26.22,14587.95,843037910.38
"Education Administrators, Postsecondary",agentic_confirmed,Agentic Confirmed,8.26,14574.62,1515177349.15
Shuttle Drivers and Chauffeurs,agentic_confirmed,Agentic Confirmed,4.97,14527.99,592302916.98
"Law Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,63.46,14469.43,1832552821.81
Audio and Video Technicians,agentic_confirmed,Agentic Confirmed,20.52,14382.46,788590312.02
First-Line Supervisors of Production and Operating Workers,agentic_confirmed,Agentic Confirmed,2.09,14337.55,1020690481.68
Tellers,agentic_confirmed,Agentic Confirmed,4.20,14256.57,560853586.00
Security Managers,agentic_confirmed,Agentic Confirmed,20.20,14250.13,1491846004.01
Brokerage Clerks,agentic_confirmed,Agentic Confirmed,35.42,14198.96,893682603.02
Clinical Research Coordinators,agentic_confirmed,Agentic Confirmed,27.27,14088.60,2270800459.31
"Switchboard Operators, Including Answering Service",agentic_confirmed,Agentic Confirmed,39.30,14041.12,538757757.51
Financial Managers,agentic_confirmed,Agentic Confirmed,72.07,13598.92,2198945935.43
"Cooks, Short Order",agentic_confirmed,Agentic Confirmed,8.72,13109.11,466946479.53
Credit Counselors,agentic_confirmed,Agentic Confirmed,46.63,13108.36,661709795.60
Cytotechnologists,agentic_confirmed,Agentic Confirmed,30.39,13031.69,806531489.82
"Philosophy and Religion Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,62.34,12990.66,1013921298.86
Diagnostic Medical Sonographers,agentic_confirmed,Agentic Confirmed,14.89,12872.26,1150007698.78
"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",agentic_confirmed,Agentic Confirmed,9.86,12797.89,589470833.45
Human Factors Engineers and Ergonomists,agentic_confirmed,Agentic Confirmed,14.62,12797.00,1294288533.58
"Fraud Examiners, Investigators and Analysts",agentic_confirmed,Agentic Confirmed,36.96,12642.82,1013827527.26
Rehabilitation Counselors,agentic_confirmed,Agentic Confirmed,14.16,12596.26,580813754.20
Construction and Building Inspectors,agentic_confirmed,Agentic Confirmed,14.59,12519.36,902895894.51
Logisticians,agentic_confirmed,Agentic Confirmed,17.63,12243.95,990290595.64
Electrical and Electronic Engineering Technologists and Technicians,agentic_confirmed,Agentic Confirmed,13.14,12182.48,940244077.16
Transportation Engineers,agentic_confirmed,Agentic Confirmed,10.23,12118.49,1206880704.99
"History Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,60.52,12018.41,979500061.64
"Compensation, Benefits, and Job Analysis Specialists",agentic_confirmed,Agentic Confirmed,11.65,11928.37,918723412.24
"Foreign Language and Literature Teachers, Postsecondary",agentic_confirmed,Agentic Confirmed,56.19,11896.14,916121365.71
