category,pct_human_conv,pct_aei_api,pct_microsoft,pct_mcp,mean_pct,std_pct
"Stone Cutters and Carvers, Manufacturing",15.17,7.55,13.89,1.41,9.51,6.34
"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",18.57,4.52,15.77,9.45,12.08,6.32
Dining Room and Cafeteria Attendants and Bartender Helpers,13.34,0.00,13.34,9.62,9.07,6.30
Automotive Body and Related Repairers,11.71,0.00,11.71,1.89,6.33,6.26
Hearing Aid Specialists,14.11,0.00,10.55,4.67,7.33,6.25
"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",20.61,10.78,20.61,8.97,15.25,6.24
Laundry and Dry-Cleaning Workers,13.23,0.00,13.23,8.39,8.71,6.24
First-Line Supervisors of Firefighting and Prevention Workers,3.73,2.77,3.73,15.84,6.52,6.23
Pediatric Surgeons,13.12,0.00,13.12,7.63,8.47,6.21
Motorboat Mechanics and Service Technicians,12.95,0.00,12.95,6.50,8.10,6.20
Automotive Service Technicians and Mechanics,18.91,5.94,18.91,16.32,15.02,6.17
"Special Education Teachers, Elementary School",19.90,7.56,19.90,11.79,14.79,6.15
"Food Servers, Nonrestaurant",19.93,6.53,19.01,14.41,14.97,6.12
Nursing Assistants,14.54,0.00,9.69,10.03,8.56,6.12
"Hotel, Motel, and Resort Desk Clerks",42.83,34.94,35.01,47.35,40.03,6.12
Photonics Engineers,45.59,31.32,35.54,34.99,36.86,6.11
Parking Attendants,17.80,5.10,17.80,11.13,12.96,6.11
Physical Therapist Assistants,13.17,0.00,12.47,8.41,8.51,6.05
Oral and Maxillofacial Surgeons,13.47,0.00,9.98,3.89,6.84,6.04
Pipelayers,11.09,0.00,11.09,1.36,5.89,6.04
"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",6.28,0.00,6.28,14.70,6.82,6.03
Travel Guides,39.12,26.25,28.57,35.58,32.38,5.99
"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",24.45,15.81,19.46,29.56,22.32,5.99
Fiberglass Laminators and Fabricators,10.34,0.00,10.34,0.00,5.17,5.97
Midwives,27.73,14.62,20.49,15.72,19.64,5.97
"Electronic Equipment Installers and Repairers, Motor Vehicles",27.41,15.78,23.09,15.12,20.35,5.93
Athletic Trainers,29.12,15.76,21.25,17.61,20.93,5.91
Music Therapists,25.95,17.22,11.66,17.45,18.07,5.90
Stonemasons,10.30,0.00,10.30,0.26,5.21,5.87
"Geological Technicians, Except Hydrologic Technicians",14.98,23.36,14.98,26.45,19.94,5.86
Forest and Conservation Workers,11.78,0.00,11.78,4.19,6.94,5.85
Print Binding and Finishing Workers,8.02,0.00,7.26,14.23,7.38,5.82
Massage Therapists,15.75,8.48,7.38,1.72,8.33,5.76
Mechanical Door Repairers,11.38,0.00,11.38,11.71,8.62,5.75
Couriers and Messengers,22.38,23.59,15.51,29.50,22.74,5.74
First-Line Supervisors of Correctional Officers,21.42,11.02,20.71,11.26,16.10,5.74
Shoe and Leather Workers and Repairers,10.77,0.00,10.77,1.84,5.85,5.74
Retail Salespersons,49.23,37.64,39.99,47.68,43.63,5.68
Shuttle Drivers and Chauffeurs,16.14,4.97,16.14,16.58,13.46,5.66
Computer Network Architects,57.05,53.89,43.94,53.39,52.07,5.66
Refuse and Recyclable Material Collectors,7.76,1.83,6.26,15.41,7.81,5.65
Health Informatics Specialists,52.85,42.82,52.85,55.61,51.03,5.63
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",11.34,0.00,11.34,4.46,6.79,5.57
Radiation Therapists,15.26,4.26,13.57,16.50,12.40,5.56
Sewing Machine Operators,11.19,0.00,11.19,10.69,8.27,5.52
Dietitians and Nutritionists,42.31,31.08,40.32,32.90,36.66,5.49
Nurse Practitioners,28.02,28.27,20.40,17.48,23.54,5.45
Paramedics,11.11,0.00,11.11,4.50,6.68,5.43
"Cutters and Trimmers, Hand",10.93,0.00,10.93,10.44,8.07,5.39
Cement Masons and Concrete Finishers,12.55,9.55,6.58,0.00,7.17,5.37
"Graders and Sorters, Agricultural Products",10.06,0.00,10.06,11.72,7.96,5.36
Critical Care Nurses,20.10,9.54,11.65,8.15,12.36,5.36
Credit Counselors,43.61,46.63,34.26,40.40,41.22,5.30
"Excavating and Loading Machine and Dragline Operators, Surface Mining",11.21,3.46,11.21,0.98,6.72,5.29
Elevator and Escalator Installers and Repairers,8.02,0.00,8.02,12.64,7.17,5.25
Psychiatric Aides,20.63,8.62,15.86,11.55,14.17,5.23
"Plumbers, Pipefitters, and Steamfitters",19.99,12.15,19.99,9.97,15.53,5.23
Anesthesiologist Assistants,10.49,0.00,10.13,10.64,7.82,5.21
Allergists and Immunologists,22.01,23.74,13.20,14.89,18.46,5.20
"Pressers, Textile, Garment, and Related Materials",10.75,0.00,10.75,5.02,6.63,5.18
Medical Appliance Technicians,8.97,0.00,8.97,0.00,4.49,5.18
Occupational Therapy Assistants,14.62,5.30,14.51,5.97,10.10,5.16
Dredge Operators,0.00,0.00,0.00,10.32,2.58,5.16
Family Medicine Physicians,21.06,19.70,21.06,10.40,18.05,5.15
Veterinary Technologists and Technicians,19.00,6.54,12.57,14.15,13.07,5.14
Hydroelectric Production Managers,10.08,0.00,9.16,11.17,7.60,5.14
"Roof Bolters, Mining",10.08,0.00,10.08,2.84,5.75,5.13
Brickmasons and Blockmasons,15.65,6.50,15.65,7.15,11.24,5.10
Emergency Medical Technicians,10.44,0.00,10.44,6.41,6.82,4.93
Physical Therapist Aides,10.07,0.00,7.47,10.42,6.99,4.84
Tapers,9.44,0.00,6.94,0.00,4.10,4.84
"Tailors, Dressmakers, and Custom Sewers",13.88,2.73,8.85,5.32,7.70,4.82
"Floor Layers, Except Carpet, Wood, and Hard Tiles",9.90,0.00,9.90,4.15,5.99,4.82
"Career/Technical Education Teachers, Postsecondary",32.38,33.75,32.38,23.31,30.46,4.81
Registered Nurses,18.49,19.43,9.30,12.94,15.04,4.78
Veterinary Assistants and Laboratory Animal Caretakers,19.22,9.37,11.35,17.51,14.36,4.74
Gas Plant Operators,19.07,10.55,10.63,18.40,14.66,4.71
"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",14.60,4.93,14.60,9.08,10.80,4.70
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",11.28,5.54,10.52,1.31,7.16,4.66
Insurance Underwriters,40.74,30.74,32.55,38.00,35.51,4.66
Structural Metal Fabricators and Fitters,8.66,0.00,8.66,1.38,4.67,4.64
Advertising and Promotions Managers,41.12,42.68,33.14,42.67,39.90,4.57
"Rotary Drill Operators, Oil and Gas",9.33,0.00,9.33,8.65,6.83,4.56
Construction Laborers,11.24,3.60,3.87,0.50,4.80,4.56
Landscaping and Groundskeeping Workers,5.83,0.00,5.83,11.10,5.69,4.54
Outdoor Power Equipment and Other Small Engine Mechanics,15.17,6.53,15.17,16.20,13.27,4.52
Tree Trimmers and Pruners,8.23,0.00,8.23,0.87,4.33,4.52
"Farmers, Ranchers, and Other Agricultural Managers",12.11,4.31,12.11,14.74,10.82,4.51
"Explosives Workers, Ordnance Handling Experts, and Blasters",5.05,0.00,5.05,11.02,5.28,4.51
Dental Laboratory Technicians,10.16,9.17,10.16,0.88,7.59,4.50
Nanotechnology Engineering Technologists and Technicians,23.23,14.20,23.23,23.01,20.92,4.48
Prosthodontists,7.89,10.45,5.07,0.00,5.85,4.48
Fence Erectors,8.90,0.00,8.90,3.06,5.21,4.43
Histotechnologists,12.02,10.54,12.02,2.79,9.34,4.42
Loan Officers,40.23,32.14,30.46,36.59,34.86,4.42
Audiovisual Equipment Installers and Repairers,21.33,29.73,21.33,20.36,23.19,4.38
Detectives and Criminal Investigators,31.20,22.66,31.20,25.00,27.52,4.36
Operating Engineers and Other Construction Equipment Operators,9.22,0.00,9.22,5.71,6.03,4.35
Electrical and Electronic Equipment Assemblers,22.51,12.29,19.86,19.00,18.42,4.35
Regulatory Affairs Managers,37.38,27.89,29.06,29.56,30.97,4.33
Health Education Specialists,25.86,34.06,25.86,24.84,27.66,4.29
"Camera Operators, Television, Video, and Film",27.63,20.06,27.63,29.80,26.28,4.27
Construction and Building Inspectors,24.32,14.59,16.25,18.28,18.36,4.25
Embalmers,9.68,0.00,7.28,7.49,6.11,4.22
Nuclear Engineers,16.68,8.32,15.01,17.67,14.42,4.21
Ophthalmic Medical Technologists,7.17,0.00,7.17,9.80,6.04,4.21
Sailors and Marine Oilers,8.72,0.00,8.72,7.59,6.26,4.20
Solar Thermal Installers and Technicians,8.43,0.00,8.43,8.33,6.30,4.20
Manicurists and Pedicurists,4.60,5.80,3.76,12.89,6.76,4.17
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",7.87,3.23,7.87,13.34,8.08,4.13
"Meter Readers, Utilities",29.13,22.84,28.00,32.78,28.19,4.11
Nanosystems Engineers,33.99,30.61,30.42,24.19,29.80,4.09
Automotive and Watercraft Service Attendants,8.36,9.81,6.49,15.92,10.15,4.08
"Computer, Automated Teller, and Office Machine Repairers",36.57,31.73,33.13,26.73,32.04,4.08
"Textile Cutting Machine Setters, Operators, and Tenders",16.22,7.38,14.70,15.35,13.41,4.07
"Packers and Packagers, Hand",16.33,9.14,16.33,9.42,12.80,4.07
Shoe Machine Operators and Tenders,8.17,0.00,8.17,2.99,4.83,4.04
Electromechanical Equipment Assemblers,14.80,6.02,12.58,8.05,10.36,4.03
Machine Feeders and Offbearers,4.35,0.00,4.35,9.81,4.63,4.02
Medical Equipment Preparers,0.97,0.00,0.97,8.59,2.63,4.00
"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",10.54,2.27,10.54,6.80,7.54,3.93
"Inspectors, Testers, Sorters, Samplers, and Weighers",20.41,10.96,14.92,14.21,15.12,3.93
Orthoptists,16.37,11.23,13.64,7.11,12.09,3.93
"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",7.60,0.00,7.60,1.96,4.29,3.90
Rail Car Repairers,7.40,0.00,7.40,8.39,5.80,3.89
Heavy and Tractor-Trailer Truck Drivers,19.54,10.98,16.19,18.81,16.38,3.88
"Mixing and Blending Machine Setters, Operators, and Tenders",18.49,11.50,13.84,9.65,13.37,3.82
"Rock Splitters, Quarry",6.41,0.00,6.41,0.00,3.20,3.70
Tire Repairers and Changers,8.09,0.00,4.86,1.09,3.51,3.69
"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",12.03,5.71,12.03,14.27,11.01,3.69
Motorboat Operators,6.31,0.00,0.27,6.66,3.31,3.67
"Loading and Moving Machine Operators, Underground Mining",7.19,0.00,7.19,6.91,5.33,3.55
"Earth Drillers, Except Oil and Gas",5.49,0.00,5.49,8.49,4.87,3.54
Licensed Practical and Licensed Vocational Nurses,20.16,13.50,14.11,19.58,16.84,3.52
Fitness and Wellness Coordinators,29.60,22.60,22.56,27.25,25.50,3.51
Boilermakers,10.26,11.29,10.26,3.68,8.87,3.50
Chiropractors,20.11,20.94,14.75,14.28,17.52,3.49
Continuous Mining Machine Operators,7.01,0.00,7.01,6.19,5.05,3.39
Dental Hygienists,6.72,9.13,4.65,12.47,8.24,3.36
"Physicians, Pathologists",22.36,25.60,22.36,17.49,21.95,3.35
Chemical Equipment Operators and Tenders,14.86,7.94,14.71,10.78,12.07,3.34
Clinical Research Coordinators,33.47,27.27,27.39,32.56,30.17,3.30
Surgical Technologists,7.70,0.00,4.87,5.89,4.61,3.29
Media Programming Directors,21.73,26.93,21.73,27.76,24.54,3.26
Timing Device Assemblers and Adjusters,9.74,2.40,4.05,3.81,5.00,3.24
Carpenters,10.71,4.02,10.71,9.98,8.85,3.24
Animal Trainers,10.84,3.09,5.59,6.63,6.54,3.23
Helpers--Carpenters,6.10,0.00,6.10,1.33,3.38,3.18
"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",11.17,4.34,10.23,10.57,9.08,3.18
Pile Driver Operators,0.00,0.00,0.00,6.36,1.59,3.18
Hazardous Materials Removal Workers,9.12,6.63,2.49,9.04,6.82,3.11
Drywall and Ceiling Tile Installers,13.34,6.05,10.18,8.29,9.46,3.09
"Energy Engineers, Except Wind and Solar",34.01,27.55,34.01,31.20,31.69,3.06
Civil Engineering Technologists and Technicians,32.67,33.09,32.67,38.89,34.33,3.05
Dishwashers,5.27,0.00,5.27,0.00,2.63,3.04
Locksmiths and Safe Repairers,3.11,0.00,3.11,7.39,3.40,3.04
Conveyor Operators and Tenders,17.23,11.41,11.44,15.71,13.95,2.98
Barbers,10.65,5.00,9.94,11.69,9.32,2.97
Surgical Assistants,6.89,0.00,4.98,5.16,4.26,2.97
"News Analysts, Reporters, and Journalists",50.37,46.43,50.37,53.38,50.14,2.85
Occupational Health and Safety Technicians,16.05,9.62,14.57,11.92,13.04,2.85
Structural Iron and Steel Workers,8.10,9.21,5.17,3.00,6.37,2.82
"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",5.52,0.00,5.52,5.71,4.19,2.79
Phlebotomists,11.57,5.25,6.61,8.99,8.11,2.78
Fishing and Hunting Workers,5.81,0.00,5.81,4.30,3.98,2.75
Automotive Glass Installers and Repairers,4.75,0.00,4.75,0.00,2.38,2.74
Orderlies,4.94,0.00,4.94,5.85,3.94,2.66
Wind Energy Development Managers,13.94,15.27,13.94,19.43,15.65,2.60
Farm and Home Management Educators,36.57,33.10,36.57,31.46,34.42,2.56
Segmental Pavers,5.39,0.00,5.39,3.23,3.50,2.55
Ship Engineers,4.44,5.91,4.44,9.81,6.15,2.53
Maids and Housekeeping Cleaners,2.80,0.00,2.80,6.15,2.93,2.52
Musicians and Singers,14.12,17.54,14.12,19.05,16.21,2.49
Anesthesiologists,5.60,0.39,5.14,5.21,4.09,2.47
Geneticists,34.40,33.78,29.21,33.69,32.77,2.40
Roofers,4.58,5.41,2.77,0.00,3.19,2.39
Cleaners of Vehicles and Equipment,4.91,0.00,4.91,3.65,3.37,2.32
Histology Technicians,4.99,7.20,4.99,2.02,4.80,2.13
Helpers--Extraction Workers,3.66,0.00,3.66,0.00,1.83,2.12
Logging Equipment Operators,3.97,0.00,3.97,4.38,3.08,2.06
Urologists,15.64,14.31,12.78,11.07,13.45,1.97
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",5.69,3.85,5.69,8.45,5.92,1.90
Highway Maintenance Workers,3.21,0.00,3.21,0.00,1.61,1.86
Medical and Clinical Laboratory Technologists,38.26,34.28,34.93,36.91,36.10,1.82
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",0.54,0.00,0.54,3.84,1.23,1.76
"Service Unit Operators, Oil and Gas",6.07,3.66,6.07,7.87,5.92,1.73
Appraisers and Assessors of Real Estate,26.63,29.17,26.63,29.84,28.07,1.68
Helpers--Roofers,2.34,0.00,2.34,0.00,1.17,1.35
"Education and Childcare Administrators, Preschool and Daycare",27.09,25.03,27.09,24.81,26.00,1.25
"Roustabouts, Oil and Gas",2.46,0.00,2.46,1.09,1.50,1.19
Tire Builders,1.99,0.00,1.99,0.00,0.99,1.15
Writers and Authors,49.27,50.60,49.27,51.24,50.10,0.99
Ophthalmic Medical Technicians,1.21,0.00,1.21,2.14,1.14,0.88
Foundry Mold and Coremakers,0.00,0.00,0.00,1.73,0.43,0.86
"Education Administrators, Kindergarten through Secondary",22.43,22.08,22.43,23.95,22.72,0.83
"Ophthalmologists, Except Pediatric",10.96,9.39,10.96,11.04,10.59,0.80
Endoscopy Technicians,1.46,0.00,1.46,1.49,1.10,0.74
"Paving, Surfacing, and Tamping Equipment Operators",0.90,0.00,0.90,0.00,0.45,0.52
Rail-Track Laying and Maintenance Equipment Operators,0.00,0.00,0.00,0.77,0.19,0.39
Floor Sanders and Finishers,0.00,0.00,0.00,0.00,0.00,0.00
